lat,lng,ele
22.371499,114.175700,19.40
22.371481,114.175634,19.80
22.371479,114.175562,19.80
22.371489,114.175493,19.80
22.371520,114.175431,20.00
22.371560,114.175374,20.00
22.371607,114.175327,20.40
22.371653,114.175287,20.80
22.371700,114.175251,21.00
22.371741,114.175212,21.20
22.371774,114.175171,21.40
22.371816,114.175135,21.80
22.371857,114.175090,22.20
22.371903,114.175051,22.80
22.371944,114.175021,23.20
22.371969,114.174999,23.80
22.371982,114.174972,24.40
22.372013,114.174930,24.80
22.372029,114.174860,25.20
22.372050,114.174805,25.20
22.372080,114.174750,25.80
22.372109,114.174685,26.20
22.372147,114.174620,26.60
22.372184,114.174567,26.80
22.372211,114.174512,27.00
22.372266,114.174475,27.20
22.372332,114.174444,27.20
22.372396,114.174415,27.40
22.372454,114.174390,27.40
22.372506,114.174378,27.60
22.372555,114.174369,27.80
22.372606,114.174371,28.20
22.372650,114.174376,28.60
22.372692,114.174394,29.60
22.372721,114.174409,30.40
22.372744,114.174425,31.00
22.372774,114.174447,32.20
22.372805,114.174468,32.60
22.372836,114.174484,33.20
22.372864,114.174503,33.40
22.372894,114.174519,34.20
22.372929,114.174538,34.60
22.372966,114.174551,35.20
22.373006,114.174558,35.60
22.373043,114.174557,36.00
22.373071,114.174530,36.80
22.373107,114.174498,37.00
22.373150,114.174465,37.40
22.373190,114.174447,37.60
22.373244,114.174430,38.00
22.373291,114.174411,38.20
22.373357,114.174366,38.60
22.373395,114.174312,39.00
22.373419,114.174255,39.20
22.373433,114.174207,39.40
22.373443,114.174172,39.60
22.373457,114.174127,40.00
22.373469,114.174095,40.20
22.373481,114.174059,40.80
22.373488,114.174020,41.00
22.373493,114.173992,41.20
22.373504,114.173949,42.00
22.373511,114.173913,42.60
22.373517,114.173877,43.20
22.373527,114.173842,43.40
22.373538,114.173807,44.00
22.373548,114.173773,44.60
22.373554,114.173738,45.00
22.373562,114.173705,45.40
22.373569,114.173672,46.20
22.373578,114.173642,46.60
22.373588,114.173607,47.00
22.373592,114.173570,47.40
22.373599,114.173532,47.60
22.373607,114.173499,48.00
22.373615,114.173467,48.20
22.373625,114.173434,49.00
22.373634,114.173404,49.60
22.373643,114.173371,49.80
22.373651,114.173340,50.20
22.373658,114.173312,50.40
22.373664,114.173282,51.20
22.373669,114.173249,51.60
22.373678,114.173219,52.80
22.373687,114.173188,53.20
22.373693,114.173155,54.00
22.373698,114.173123,54.60
22.373706,114.173089,55.00
22.373715,114.173058,55.60
22.373723,114.173029,56.20
22.373729,114.173000,56.80
22.373741,114.172971,56.80
22.373748,114.172946,57.00
22.373757,114.172917,57.20
22.373767,114.172891,58.20
22.373776,114.172867,58.80
22.373783,114.172849,59.20
22.373796,114.172834,59.60
22.373804,114.172818,59.80
22.373814,114.172787,60.20
22.373820,114.172763,60.60
22.373829,114.172725,61.00
22.373836,114.172694,61.20
22.373848,114.172665,62.20
22.373854,114.172634,62.60
22.373864,114.172603,62.80
22.373877,114.172568,63.40
22.373894,114.172537,63.60
22.373903,114.172505,64.40
22.373911,114.172475,64.60
22.373921,114.172451,65.20
22.373933,114.172424,65.60
22.373941,114.172393,66.20
22.373952,114.172365,66.60
22.373969,114.172336,67.00
22.373985,114.172310,67.40
22.374004,114.172281,67.80
22.374018,114.172251,68.00
22.374035,114.172222,68.20
22.374051,114.172199,68.80
22.374072,114.172164,69.20
22.374089,114.172133,70.00
22.374101,114.172098,70.60
22.374116,114.172065,70.80
22.374132,114.172030,71.80
22.374152,114.171999,72.00
22.374168,114.171962,72.60
22.374190,114.171927,72.80
22.374214,114.171887,73.40
22.374235,114.171845,73.60
22.374259,114.171803,74.20
22.374283,114.171756,74.60
22.374312,114.171711,74.60
22.374346,114.171661,74.80
22.374379,114.171602,75.00
22.374410,114.171547,75.20
22.374452,114.171452,75.40
22.374475,114.171355,75.40
22.374480,114.171254,75.40
22.374471,114.171148,75.20
22.374460,114.171041,74.80
22.374452,114.170931,74.60
22.374453,114.170825,74.40
22.374458,114.170721,74.20
22.374464,114.170620,74.00
22.374465,114.170518,73.80
22.374468,114.170424,72.60
22.374466,114.170333,72.20
22.374466,114.170244,72.00
22.374465,114.170161,71.60
22.374461,114.170081,71.60
22.374455,114.170006,71.60
22.374452,114.169931,71.60
22.374444,114.169852,71.80
22.374437,114.169765,72.00
22.374414,114.169676,71.80
22.374388,114.169593,71.80
22.374357,114.169508,71.80
22.374317,114.169422,72.20
22.374294,114.169337,72.20
22.374282,114.169246,72.40
22.374284,114.169156,72.60
22.374292,114.169068,72.40
22.374324,114.168985,72.20
22.374370,114.168911,72.00
22.374428,114.168843,72.00
22.374496,114.168791,71.60
22.374556,114.168750,71.00
22.374610,114.168713,70.80
22.374663,114.168666,70.20
22.374707,114.168615,70.00
22.374735,114.168555,69.00
22.374756,114.168485,68.80
22.374785,114.168414,68.60
22.374804,114.168338,68.20
22.374810,114.168252,67.60
22.374813,114.168154,67.20
22.374810,114.168049,67.00
22.374821,114.167946,65.80
22.374842,114.167850,65.20
22.374886,114.167757,64.20
22.374928,114.167667,63.80
22.374959,114.167572,63.20
22.374970,114.167477,62.80
22.374962,114.167381,61.20
22.374948,114.167281,60.00
22.374920,114.167188,59.40
22.374898,114.167091,58.40
22.374863,114.167008,58.00
22.374816,114.166936,57.20
22.374759,114.166888,57.00
22.374705,114.166845,56.20
22.374642,114.166803,55.80
22.374577,114.166782,54.80
22.374514,114.166765,54.00
22.374446,114.166738,53.60
22.374364,114.166739,52.80
22.374287,114.166733,52.40
22.374216,114.166732,52.00
22.374154,114.166743,51.80
22.374091,114.166766,51.20
22.374024,114.166795,50.80
22.373939,114.166827,49.80
22.373867,114.166860,49.00
22.373797,114.166885,48.60
22.373726,114.166896,47.80
22.373680,114.166888,47.20
22.373623,114.166880,46.60
22.373563,114.166868,46.20
22.373502,114.166860,46.00
22.373438,114.166850,46.00
22.373376,114.166842,45.80
22.373318,114.166832,45.80
22.373259,114.166820,45.80
22.373212,114.166810,45.60
22.373166,114.166798,45.60
22.373120,114.166788,45.80
22.373086,114.166782,45.80
22.373058,114.166779,45.80
22.373036,114.166773,45.80
22.373000,114.166766,46.20
22.372976,114.166760,46.80
22.372938,114.166755,47.20
22.372906,114.166751,47.40
22.372887,114.166754,47.80
22.372862,114.166751,48.40
22.372840,114.166746,48.80
22.372815,114.166737,49.20
22.372784,114.166723,49.60
22.372754,114.166716,50.40
22.372730,114.166715,51.20
22.372698,114.166720,51.40
22.372654,114.166729,51.80
22.372626,114.166752,52.20
22.372614,114.166783,53.00
22.372606,114.166814,53.20
22.372617,114.166844,53.60
22.372636,114.166869,53.80
22.372662,114.166891,54.60
22.372695,114.166912,55.20
22.372731,114.166935,55.80
22.372772,114.166959,56.40
22.372813,114.166979,56.60
22.372855,114.166996,57.20
22.372897,114.167014,57.40
22.372928,114.167031,57.60
22.372965,114.167049,58.00
22.373014,114.167074,58.40
22.373057,114.167093,59.20
22.373095,114.167115,59.60
22.373134,114.167138,60.00
22.373164,114.167158,60.20
22.373216,114.167193,60.80
22.373256,114.167224,61.00
22.373294,114.167258,61.60
22.373332,114.167289,61.80
22.373372,114.167315,62.00
22.373414,114.167334,62.40
22.373447,114.167348,62.60
22.373478,114.167367,63.00
22.373511,114.167376,63.20
22.373544,114.167385,63.80
22.373575,114.167407,64.00
22.373604,114.167439,64.40
22.373605,114.167473,64.60
22.373560,114.167466,65.00
22.373534,114.167475,65.40
22.373515,114.167476,65.80
22.373490,114.167476,67.20
22.373470,114.167473,67.40
22.373434,114.167463,67.80
22.373390,114.167452,68.00
22.373350,114.167446,68.40
22.373307,114.167440,68.60
22.373275,114.167433,69.20
22.373244,114.167424,69.40
22.373200,114.167419,70.00
22.373151,114.167414,70.60
22.373113,114.167407,71.00
22.373085,114.167398,71.60
22.373046,114.167398,72.20
22.373008,114.167404,72.80
22.372966,114.167424,73.00
22.372931,114.167420,73.40
22.372903,114.167409,74.20
22.372878,114.167409,74.20
22.372842,114.167401,75.00
22.372784,114.167387,75.20
22.372742,114.167382,75.40
22.372698,114.167376,76.00
22.372663,114.167379,76.60
22.372611,114.167376,76.80
22.372567,114.167377,77.40
22.372530,114.167388,77.60
22.372500,114.167391,77.80
22.372471,114.167392,78.60
22.372450,114.167392,78.80
22.372426,114.167398,79.60
22.372395,114.167405,79.80
22.372366,114.167390,80.20
22.372342,114.167372,80.40
22.372311,114.167345,80.60
22.372284,114.167317,81.00
22.372255,114.167288,81.20
22.372218,114.167258,81.60
22.372179,114.167232,81.80
22.372138,114.167207,82.20
22.372095,114.167183,82.40
22.372043,114.167147,82.80
22.372002,114.167117,83.00
22.371957,114.167089,83.20
22.371922,114.167066,83.60
22.371881,114.167038,83.60
22.371846,114.167016,84.00
22.371811,114.166991,84.00
22.371778,114.166968,84.20
22.371746,114.166930,84.40
22.371724,114.166898,84.80
