lat,lng,ele
22.396993,114.211495,17.20
22.396993,114.211495,17.40
22.397003,114.211516,17.80
22.397018,114.211533,17.80
22.397033,114.211551,17.80
22.397050,114.211569,17.80
22.397065,114.211587,17.80
22.397079,114.211607,18.20
22.397094,114.211625,18.20
22.397110,114.211643,18.20
22.397124,114.211658,19.00
22.397137,114.211675,19.40
22.397151,114.211690,19.40
22.397165,114.211706,19.40
22.397179,114.211722,20.20
22.397192,114.211737,20.40
22.397204,114.211753,20.40
22.397215,114.211771,20.40
22.397228,114.211787,20.40
22.397242,114.211803,21.40
22.397255,114.211820,21.40
22.397270,114.211835,21.40
22.397285,114.211850,21.40
22.397298,114.211866,22.00
22.397312,114.211880,22.00
22.397325,114.211894,22.00
22.397338,114.211910,22.00
22.397350,114.211927,22.80
22.397362,114.211946,23.00
22.397373,114.211967,23.00
22.397382,114.211989,23.00
22.397391,114.212009,23.80
22.397400,114.212029,24.00
22.397406,114.212049,24.00
22.397411,114.212069,24.00
22.397417,114.212089,24.80
22.397421,114.212110,25.00
22.397424,114.212130,25.00
22.397427,114.212150,25.00
22.397430,114.212172,25.00
22.397431,114.212193,25.40
22.397432,114.212214,25.80
22.397431,114.212237,25.80
22.397430,114.212258,25.80
22.397426,114.212280,26.00
22.397421,114.212302,26.40
22.397415,114.212323,26.40
22.397410,114.212345,26.40
22.397405,114.212366,27.20
22.397399,114.212387,27.60
22.397391,114.212407,27.60
22.397383,114.212427,27.60
22.397374,114.212447,27.60
22.397364,114.212467,27.60
22.397357,114.212489,28.20
22.397350,114.212510,28.20
22.397343,114.212530,28.20
22.397337,114.212551,29.00
22.397332,114.212570,29.60
22.397327,114.212591,29.60
22.397323,114.212609,29.60
22.397318,114.212629,29.60
22.397312,114.212648,30.20
22.397306,114.212667,30.20
22.397301,114.212687,30.20
22.397295,114.212707,30.20
22.397292,114.212727,30.40
22.397289,114.212749,30.40
22.397288,114.212770,30.40
22.397284,114.212791,30.40
22.397279,114.212811,31.40
22.397275,114.212830,31.40
22.397270,114.212850,31.40
22.397268,114.212871,31.40
22.397264,114.212891,32.40
22.397261,114.212911,32.60
22.397258,114.212928,32.60
22.397254,114.212946,32.60
22.397252,114.212964,32.60
22.397251,114.212981,33.20
22.397251,114.212999,33.20
22.397251,114.213015,33.20
22.397251,114.213031,33.20
22.397249,114.213048,33.80
22.397247,114.213064,34.20
22.397247,114.213082,34.20
22.397248,114.213099,34.20
22.397247,114.213118,34.20
22.397246,114.213136,34.40
22.397244,114.213155,34.40
22.397243,114.213176,34.40
22.397243,114.213196,35.40
22.397244,114.213215,35.80
22.397245,114.213234,35.80
22.397246,114.213253,35.80
22.397245,114.213273,35.80
22.397246,114.213291,35.80
22.397247,114.213311,36.20
22.397248,114.213331,36.20
22.397250,114.213350,36.20
22.397251,114.213369,37.20
22.397251,114.213390,36.80
22.397254,114.213408,36.80
22.397258,114.213426,36.80
22.397262,114.213445,37.60
22.397264,114.213466,37.80
22.397265,114.213487,37.80
22.397267,114.213507,37.80
22.397269,114.213526,37.80
22.397270,114.213545,37.80
22.397270,114.213565,38.60
22.397273,114.213583,38.60
22.397277,114.213602,38.60
22.397282,114.213620,39.20
22.397286,114.213640,39.40
22.397289,114.213659,39.40
22.397294,114.213678,39.40
