lat,lng,ele
22.285995,113.941563,29.60
22.285952,113.941608,29.60
22.285912,113.941656,29.60
22.285873,113.941703,29.60
22.285832,113.941747,29.80
22.285793,113.941793,29.80
22.285757,113.941838,29.80
22.285720,113.941885,30.00
22.285683,113.941935,30.20
22.285645,113.941978,30.40
22.285604,113.942019,30.40
22.285561,113.942054,30.60
22.285517,113.942089,30.80
22.285472,113.942129,31.00
22.285428,113.942170,31.60
22.285384,113.942208,31.80
22.285339,113.942249,32.00
22.285293,113.942291,32.20
22.285248,113.942337,32.60
22.285200,113.942386,32.60
22.285152,113.942438,33.00
22.285101,113.942495,33.20
22.285045,113.942553,33.40
22.284990,113.942611,33.40
22.284934,113.942674,33.40
22.284878,113.942736,33.40
22.284827,113.942794,33.40
22.284773,113.942846,33.40
22.284712,113.942894,33.40
22.284650,113.942934,33.60
22.284583,113.942955,33.60
22.284507,113.942957,33.60
22.284433,113.942941,33.60
22.284364,113.942907,33.60
22.284301,113.942864,33.60
22.284240,113.942815,33.40
22.284177,113.942768,33.40
22.284113,113.942721,33.40
22.284049,113.942672,33.40
22.283983,113.942627,33.40
22.283913,113.942581,33.40
22.283842,113.942533,33.40
22.283768,113.942484,33.40
22.283695,113.942423,33.40
22.283622,113.942359,33.40
22.283549,113.942298,33.40
22.283475,113.942230,33.40
22.283400,113.942164,33.20
22.283325,113.942103,33.20
22.283245,113.942044,33.00
22.283164,113.941985,32.60
22.283085,113.941925,32.60
22.283004,113.941870,32.40
22.282923,113.941812,32.40
22.282844,113.941750,32.40
22.282767,113.941688,32.40
22.282688,113.941634,32.20
22.282605,113.941580,32.00
22.282527,113.941521,31.80
22.282448,113.941465,31.40
22.282370,113.941406,31.20
22.282288,113.941359,31.00
22.282208,113.941297,30.80
22.282131,113.941232,30.60
22.282050,113.941169,30.60
22.281973,113.941103,30.40
22.281890,113.941043,30.20
22.281810,113.940980,30.20
22.281730,113.940912,30.20
22.281652,113.940848,30.20
22.281576,113.940779,30.00
22.281505,113.940709,30.00
22.281434,113.940644,30.00
22.281364,113.940577,30.00
22.281295,113.940513,30.00
22.281229,113.940452,29.80
22.281164,113.940408,29.60
22.281105,113.940366,29.40
22.281052,113.940324,29.40
22.281004,113.940282,29.20
22.280962,113.940243,29.20
22.280931,113.940208,29.20
22.280905,113.940183,29.20
22.280884,113.940158,29.20
22.280868,113.940136,29.20
22.280860,113.940118,29.20
22.280854,113.940101,29.40
22.280849,113.940088,29.60
22.280844,113.940072,29.80
22.280838,113.940059,30.00
22.280833,113.940036,30.20
22.280826,113.940020,30.20
22.280818,113.940004,30.20
22.280810,113.939987,30.20
22.280802,113.939971,30.20
22.280795,113.939965,30.20
22.280787,113.939960,30.20
22.280797,113.939923,30.20
22.280796,113.939892,30.20
22.280772,113.939886,30.20
22.280719,113.939893,30.20
22.280666,113.939927,30.20
22.280614,113.939971,30.20
22.280559,113.940026,30.20
22.280499,113.940080,30.20
22.280444,113.940131,30.20
22.280385,113.940184,30.20
22.280330,113.940232,30.00
22.280279,113.940278,29.80
22.280229,113.940320,29.40
22.280178,113.940360,29.20
22.280132,113.940399,29.00
22.280089,113.940437,29.20
22.280046,113.940473,29.00
22.280005,113.940509,28.80
22.279963,113.940542,28.80
22.279920,113.940576,28.80
22.279882,113.940612,28.80
22.279841,113.940649,28.80
22.279804,113.940680,28.80
22.279765,113.940689,28.80
22.279721,113.940668,29.00
22.279681,113.940635,29.00
22.279637,113.940592,29.00
22.279591,113.940543,29.00
22.279544,113.940487,29.00
22.279499,113.940426,29.20
22.279449,113.940366,29.40
22.279397,113.940308,29.60
22.279344,113.940242,30.00
22.279286,113.940176,30.20
22.279232,113.940101,30.40
22.279188,113.940024,30.40
22.279150,113.939943,30.40
22.279116,113.939863,30.40
22.279086,113.939782,30.40
22.279059,113.939699,30.60
22.279042,113.939611,30.80
22.279033,113.939522,30.80
22.279026,113.939432,30.80
22.279020,113.939342,30.80
22.279013,113.939250,30.80
22.279008,113.939154,30.60
22.279002,113.939056,30.40
22.278996,113.938956,30.40
22.278988,113.938853,30.20
22.278981,113.938751,30.20
22.278973,113.938647,30.20
22.278966,113.938542,30.20
22.278960,113.938437,30.00
22.278952,113.938328,30.00
22.278944,113.938215,30.00
22.278938,113.938101,29.80
