lat,lng,ele
22.243423,113.963388,116.40
22.243445,113.963324,116.40
22.243469,113.963265,116.40
22.243486,113.963205,116.40
22.243488,113.963146,116.40
22.243481,113.963094,116.40
22.243466,113.963042,116.20
22.243443,113.963000,116.20
22.243423,113.962956,116.00
22.243394,113.962909,115.80
22.243354,113.962848,115.80
22.243315,113.962786,115.80
22.243265,113.962719,115.80
22.243230,113.962671,115.80
22.243193,113.962624,115.60
22.243156,113.962582,115.60
22.243112,113.962542,115.60
22.243076,113.962508,115.60
22.243034,113.962477,115.60
22.242981,113.962444,115.60
22.242939,113.962414,115.20
22.242882,113.962365,115.20
22.242829,113.962313,115.20
22.242805,113.962270,115.20
22.242787,113.962218,115.20
22.242780,113.962163,115.20
22.242773,113.962100,115.20
22.242764,113.962034,115.20
22.242794,113.961993,115.20
22.242803,113.961931,115.20
22.242810,113.961877,115.00
22.242790,113.961810,115.00
22.242782,113.961760,114.80
22.242771,113.961702,114.80
22.242757,113.961644,114.80
22.242737,113.961581,114.80
22.242706,113.961515,114.60
22.242673,113.961454,114.60
22.242617,113.961392,114.60
22.242568,113.961356,114.60
22.242509,113.961319,114.40
22.242443,113.961283,114.40
22.242378,113.961251,114.40
22.242325,113.961226,114.40
22.242278,113.961200,114.40
22.242224,113.961163,114.40
22.242150,113.961121,114.40
22.242098,113.961095,114.40
22.242036,113.961055,114.40
22.241983,113.961025,114.40
22.241919,113.960994,114.40
22.241851,113.960963,114.40
22.241783,113.960933,114.40
22.241725,113.960910,114.40
22.241668,113.960894,114.40
22.241616,113.960876,114.40
22.241556,113.960849,114.40
22.241507,113.960813,114.40
22.241470,113.960757,114.60
22.241440,113.960690,114.80
22.241429,113.960627,115.00
22.241420,113.960571,115.00
22.241399,113.960517,115.20
22.241359,113.960466,115.20
22.241329,113.960436,115.20
22.241291,113.960416,115.20
22.241248,113.960402,115.20
22.241197,113.960388,115.20
22.241136,113.960366,115.00
22.241073,113.960340,115.00
22.241012,113.960305,115.00
22.240949,113.960268,115.00
22.240886,113.960233,115.00
22.240825,113.960196,115.00
22.240766,113.960161,115.00
22.240696,113.960120,115.00
22.240639,113.960086,115.00
22.240569,113.960036,115.00
22.240520,113.960000,115.00
22.240469,113.959963,115.20
22.240416,113.959919,115.40
22.240369,113.959874,115.40
22.240309,113.959812,115.60
22.240271,113.959751,115.60
22.240259,113.959688,115.60
22.240241,113.959596,115.60
22.240254,113.959524,115.60
22.240269,113.959452,115.60
22.240293,113.959384,115.60
22.240328,113.959327,115.60
22.240359,113.959264,115.60
22.240388,113.959200,115.60
22.240415,113.959138,115.60
22.240431,113.959070,115.40
22.240441,113.959002,115.00
22.240448,113.958937,114.80
22.240458,113.958881,114.60
22.240454,113.958824,114.40
22.240438,113.958771,114.20
22.240417,113.958727,114.20
22.240376,113.958672,114.20
22.240355,113.958618,114.20
22.240345,113.958560,114.00
22.240356,113.958506,114.00
22.240365,113.958444,113.80
22.240387,113.958363,113.80
22.240418,113.958306,113.60
22.240454,113.958256,113.60
22.240489,113.958208,113.60
22.240521,113.958158,113.60
22.240558,113.958112,113.60
22.240587,113.958066,113.60
22.240603,113.958019,113.60
22.240622,113.957978,113.60
22.240612,113.957938,113.60
22.240583,113.957915,113.60
22.240548,113.957882,113.80
22.240510,113.957849,114.00
22.240462,113.957816,114.00
22.240416,113.957788,114.40
22.240367,113.957754,114.40
22.240319,113.957716,114.60
22.240269,113.957680,114.60
22.240222,113.957646,114.60
22.240179,113.957614,114.60
22.240140,113.957585,114.80
22.240114,113.957569,114.80
22.240089,113.957553,115.00
22.240076,113.957543,115.20
22.240068,113.957538,115.20
22.240063,113.957534,115.20
22.240058,113.957529,115.40
22.239922,113.957397,121.40
22.239927,113.957378,121.40
22.239931,113.957357,121.40
22.239934,113.957335,121.40
22.239941,113.957311,121.40
22.239949,113.957290,121.60
22.239960,113.957272,121.80
22.239969,113.957252,122.00
22.239982,113.957232,122.00
22.239996,113.957211,122.20
22.240001,113.957188,122.20
22.240004,113.957167,122.40
22.240015,113.957149,122.60
22.240026,113.957134,123.00
22.240042,113.957123,123.20
22.240057,113.957110,123.60
22.240065,113.957092,123.60
22.240072,113.957074,123.80
22.240080,113.957059,123.80
22.240086,113.957042,124.00
22.240093,113.957024,124.00
22.240102,113.957003,124.40
22.240108,113.956982,124.60
22.240114,113.956962,125.00
22.240116,113.956942,125.00
22.240112,113.956914,125.00
22.240110,113.956879,125.20
22.240117,113.956839,125.40
22.240127,113.956793,125.60
22.240137,113.956743,125.60
22.240146,113.956692,125.60
22.240151,113.956639,125.80
22.240159,113.956584,125.80
22.240164,113.956528,125.80
22.240168,113.956475,126.00
22.240164,113.956419,126.00
22.240157,113.956369,126.20
22.240148,113.956318,126.20
22.240144,113.956273,126.40
22.240136,113.956229,126.40
22.240120,113.956185,126.40
22.240107,113.956139,126.60
22.240094,113.956097,126.60
22.240078,113.956056,126.60
22.240055,113.956015,126.80
22.240032,113.955975,126.80
22.240010,113.955938,127.40
22.239989,113.955903,128.20
22.239967,113.955870,129.00
22.239943,113.955838,129.60
22.239919,113.955807,130.00
22.239893,113.955774,130.40
22.239874,113.955744,130.80
22.239856,113.955712,131.20
22.239839,113.955679,131.80
22.239826,113.955644,132.20
22.239812,113.955609,133.20
22.239795,113.955572,133.80
22.239780,113.955533,134.40
22.239765,113.955491,135.00
22.239751,113.955450,135.60
22.239736,113.955406,136.20
22.239725,113.955367,136.60
22.239713,113.955325,137.20
22.239705,113.955282,137.60
22.239699,113.955238,138.00
22.239688,113.955191,138.40
22.239685,113.955150,139.00
22.239683,113.955103,139.80
22.239682,113.955057,140.20
22.239678,113.955012,140.60
22.239669,113.954967,140.80
22.239663,113.954917,141.00
22.239658,113.954871,141.40
22.239651,113.954823,141.60
22.239652,113.954780,142.40
22.239652,113.954739,143.00
22.239655,113.954697,143.60
22.239661,113.954654,144.40
22.239665,113.954613,144.80
22.239671,113.954571,145.20
22.239674,113.954528,145.40
22.239679,113.954489,145.60
22.239683,113.954448,145.80
22.239686,113.954413,146.20
22.239689,113.954380,146.60
22.239692,113.954347,147.00
22.239695,113.954315,147.60
22.239700,113.954283,148.60
22.239706,113.954254,149.40
22.239714,113.954223,150.00
22.239719,113.954185,150.40
22.239722,113.954152,150.60
22.239726,113.954122,151.40
22.239731,113.954093,152.40
22.239731,113.954058,153.20
22.239732,113.954025,153.80
22.239734,113.953990,154.60
22.239735,113.953955,155.00
