lat,lng,ele
22.430329,114.199284,4.80
22.430391,114.199287,4.80
22.430455,114.199291,4.80
22.430519,114.199299,4.40
22.430581,114.199312,4.80
22.430637,114.199321,4.80
22.430690,114.199330,4.80
22.430744,114.199338,4.20
22.430799,114.199345,4.40
22.430857,114.199354,4.40
22.430915,114.199358,4.40
22.430977,114.199358,4.40
22.431041,114.199359,4.80
22.431107,114.199361,4.80
22.431171,114.199366,4.80
22.431235,114.199374,4.80
22.431299,114.199383,4.60
22.431358,114.199389,4.60
22.431422,114.199399,4.60
22.431484,114.199407,4.60
22.431544,114.199415,4.80
22.431604,114.199422,4.80
22.431663,114.199429,4.80
22.431721,114.199436,4.80
22.431780,114.199443,5.00
22.431842,114.199451,5.00
22.431901,114.199458,5.00
22.431961,114.199470,5.00
22.432020,114.199481,5.60
22.432080,114.199490,5.40
22.432143,114.199501,5.40
22.432207,114.199512,5.40
22.432269,114.199521,5.40
22.432332,114.199529,5.40
22.432393,114.199538,5.60
22.432456,114.199550,5.60
22.432519,114.199560,5.60
22.432582,114.199568,5.40
22.432645,114.199574,5.60
22.432708,114.199581,5.60
22.432770,114.199590,5.60
22.432831,114.199597,6.00
22.432895,114.199606,6.20
22.432955,114.199615,6.20
22.433014,114.199626,6.20
22.433073,114.199634,6.20
22.433128,114.199643,7.60
22.433183,114.199651,7.60
22.433235,114.199659,7.60
22.433282,114.199664,7.60
22.433328,114.199669,7.60
22.433373,114.199674,7.60
22.433414,114.199679,7.60
22.433455,114.199681,7.60
22.433497,114.199679,8.20
22.433541,114.199673,8.60
22.433585,114.199663,8.60
22.433628,114.199655,8.60
22.433665,114.199645,9.40
22.433700,114.199632,9.60
22.433736,114.199617,9.60
22.433774,114.199603,9.60
22.433812,114.199589,10.60
22.433847,114.199572,11.00
22.433883,114.199557,11.00
22.433918,114.199541,11.00
22.433951,114.199523,11.40
22.433985,114.199507,12.00
22.434016,114.199490,12.00
22.434048,114.199474,12.00
22.434079,114.199457,12.00
22.434110,114.199440,12.60
22.434139,114.199422,12.60
22.434168,114.199402,12.60
22.434199,114.199384,12.60
22.434231,114.199366,13.20
22.434261,114.199346,13.40
22.434292,114.199325,13.40
22.434321,114.199305,13.40
22.434347,114.199282,14.40
22.434368,114.199259,14.60
22.434390,114.199237,14.60
22.434409,114.199214,14.60
22.434431,114.199194,14.60
22.434449,114.199172,15.00
22.434469,114.199148,15.20
22.434488,114.199123,15.20
22.434506,114.199097,15.20
22.434524,114.199071,16.00
22.434544,114.199046,15.80
22.434561,114.199020,15.80
22.434583,114.198994,15.80
22.434600,114.198967,16.80
22.434614,114.198938,17.20
22.434629,114.198908,17.20
22.434643,114.198880,17.20
22.434658,114.198851,17.20
22.434671,114.198825,17.60
22.434683,114.198800,17.80
22.434691,114.198775,17.80
22.434699,114.198750,17.80
22.434706,114.198723,18.20
22.434709,114.198696,18.60
22.434712,114.198668,18.60
22.434715,114.198643,18.60
22.434717,114.198618,19.40
22.434720,114.198591,19.40
22.434725,114.198562,19.40
22.434727,114.198530,19.40
22.434727,114.198498,20.00
22.434725,114.198465,20.60
22.434725,114.198432,20.60
22.434726,114.198397,20.60
22.434726,114.198360,21.20
22.434725,114.198322,21.60
22.434722,114.198285,21.60
22.434716,114.198250,21.60
22.434712,114.198213,21.60
22.434705,114.198179,22.00
22.434697,114.198147,22.00
22.434690,114.198116,22.00
22.434682,114.198086,22.00
22.434673,114.198060,23.00
22.434663,114.198034,23.00
22.434653,114.198009,23.00
22.434644,114.197985,23.00
22.434637,114.197962,23.80
22.434629,114.197940,23.60
