lat,lng,ele
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.446001,114.177116,3.40
22.445993,114.177116,3.40
22.445986,114.177116,3.40
22.445986,114.177109,3.40
22.445992,114.177094,3.40
22.445999,114.177078,3.40
22.446012,114.177064,3.40
22.446026,114.177044,3.40
22.446039,114.177024,3.40
22.446049,114.177002,3.40
22.446052,114.176980,3.40
22.446055,114.176964,3.40
22.446058,114.176949,3.40
22.446072,114.176933,3.40
22.446074,114.176911,3.20
22.446074,114.176888,3.20
22.446075,114.176857,3.20
22.446085,114.176819,3.20
22.446098,114.176781,3.20
22.446110,114.176713,3.20
22.446115,114.176667,3.00
22.446121,114.176621,3.00
22.446129,114.176583,3.00
22.446142,114.176537,3.00
22.446146,114.176484,3.00
22.446150,114.176453,3.00
22.446154,114.176415,2.80
22.446155,114.176370,2.80
22.446159,114.176324,2.80
22.446169,114.176255,2.80
22.446176,114.176209,2.80
22.446182,114.176163,2.80
22.446186,114.176118,2.60
22.446192,114.176072,2.60
22.446190,114.176026,2.60
22.446188,114.175980,2.60
22.446190,114.175935,2.40
22.446194,114.175888,2.40
22.446197,114.175843,2.40
22.446201,114.175797,2.40
22.446201,114.175736,2.40
22.446196,114.175690,2.20
22.446190,114.175644,2.20
22.446212,114.175607,2.20
22.446235,114.175576,2.20
22.446247,114.175553,2.20
22.446251,114.175537,2.00
22.446251,114.175522,2.00
22.446249,114.175506,2.00
22.446249,114.175476,2.00
22.446242,114.175469,2.00
22.446226,114.175461,2.00
22.446209,114.175438,2.00
22.446201,114.175438,2.00
22.446185,114.175431,2.00
22.446170,114.175430,2.00
22.446157,114.175430,2.00
22.446145,114.175430,2.00
22.446125,114.175431,2.20
22.446110,114.175438,2.20
22.446099,114.175445,2.40
22.446087,114.175467,2.40
22.446078,114.175490,2.60
22.446067,114.175520,2.60
22.446055,114.175558,2.80
22.446044,114.175600,3.20
22.446030,114.175642,3.40
22.446017,114.175680,3.60
