lat,lng,ele
22.436344,114.164576,35.40
22.436174,114.164530,35.80
22.436113,114.164516,36.00
22.435742,114.164477,36.80
22.435678,114.164471,37.00
22.435528,114.164437,38.60
22.435467,114.164405,39.00
22.435425,114.164376,40.00
22.435287,114.164268,41.40
22.435248,114.164236,42.00
22.435213,114.164209,42.40
22.435087,114.164105,44.00
22.435020,114.164051,45.40
22.434952,114.164004,46.40
22.434884,114.163959,47.40
22.434798,114.163905,48.40
22.434680,114.163830,50.00
22.434560,114.163754,51.40
22.434519,114.163732,51.60
22.434474,114.163718,52.00
22.434370,114.163704,53.00
22.434325,114.163702,53.60
22.434273,114.163700,54.00
22.434101,114.163694,55.20
22.433862,114.163682,56.40
22.433705,114.163674,57.40
22.433482,114.163660,58.60
22.433372,114.163657,59.20
22.433199,114.163653,59.80
22.432979,114.163619,60.60
22.432948,114.163615,60.80
22.432893,114.163614,62.20
22.432854,114.163614,62.60
22.432823,114.163618,63.40
22.432724,114.163627,65.20
22.432645,114.163628,66.20
22.432611,114.163623,66.60
22.432570,114.163620,67.00
22.432529,114.163616,67.40
22.432398,114.163600,68.40
22.432302,114.163573,69.40
22.432249,114.163563,70.60
22.432208,114.163565,71.60
22.432183,114.163565,72.60
22.432159,114.163564,73.00
22.432065,114.163541,74.60
22.431964,114.163524,75.40
22.431928,114.163518,76.00
22.431849,114.163492,76.60
22.431751,114.163459,77.60
22.431689,114.163447,77.80
22.431421,114.163408,78.40
22.431388,114.163403,78.60
22.431194,114.163369,80.20
22.431119,114.163362,81.40
22.431081,114.163366,81.80
22.430978,114.163373,82.60
22.430862,114.163356,84.00
22.430838,114.163353,84.40
22.430766,114.163352,85.00
22.430670,114.163326,86.80
22.430637,114.163306,87.00
22.430597,114.163276,87.20
22.430566,114.163252,87.80
22.430397,114.163126,88.80
22.430161,114.162977,88.80
22.430077,114.162936,88.80
22.429851,114.162809,88.40
22.429841,114.162772,88.40
22.429845,114.162694,88.60
22.429842,114.162609,90.40
22.429831,114.162520,91.60
22.429821,114.162496,92.20
22.429807,114.162445,93.00
22.429784,114.162405,94.00
22.429746,114.162354,95.60
22.429724,114.162319,97.00
22.429682,114.162253,98.40
22.429661,114.162217,99.40
22.429626,114.162173,100.40
22.429617,114.162151,100.60
22.429596,114.162104,101.60
22.429567,114.162056,103.00
22.429538,114.162018,103.40
22.429517,114.161984,104.40
22.429481,114.161952,106.20
22.429460,114.161957,106.40
22.429413,114.161972,107.40
22.429329,114.162024,108.80
22.429277,114.162064,110.00
22.429152,114.162087,111.00
22.429115,114.162079,111.20
22.429012,114.162020,112.20
22.428965,114.162007,112.80
22.428872,114.162017,113.40
22.428821,114.162038,113.60
22.428787,114.162060,114.00
22.428694,114.162148,114.40
22.428650,114.162198,114.60
22.428514,114.162352,115.00
22.428466,114.162372,115.20
22.428388,114.162395,115.20
22.428242,114.162412,115.20
22.427862,114.162373,115.20
22.427735,114.162290,115.00
22.427680,114.162252,115.00
22.427604,114.162187,115.00
22.427564,114.162138,115.20
22.427529,114.162064,115.20
22.427449,114.161951,115.80
22.427353,114.161886,116.20
22.427295,114.161867,116.60
22.427278,114.161854,116.80
22.427220,114.161837,118.00
22.427177,114.161826,118.80
22.427162,114.161823,119.20
22.427103,114.161810,120.80
22.427050,114.161790,122.00
22.427008,114.161775,123.00
22.426934,114.161735,124.40
22.426927,114.161716,125.00
22.426925,114.161693,125.40
22.426919,114.161612,126.60
22.426918,114.161523,127.60
22.426922,114.161436,128.80
22.426929,114.161385,129.80
22.426929,114.161280,131.20
22.426908,114.161141,132.40
22.426842,114.161063,132.80
22.426797,114.161038,133.00
22.426742,114.161033,133.20
22.426647,114.161055,133.40
22.426552,114.161070,133.60
22.426461,114.161060,134.00
22.426349,114.161029,135.20
22.426266,114.160971,136.20
22.426174,114.160931,137.40
22.426073,114.160907,139.00
22.425933,114.160925,140.20
22.425869,114.160948,140.60
22.425814,114.160980,141.20
22.425759,114.161005,142.40
22.425726,114.161042,143.00
22.425715,114.161067,143.80
22.425674,114.161130,145.00
22.425669,114.161210,146.20
22.425661,114.161263,146.80
22.425665,114.161289,147.60
22.425664,114.161335,148.60
22.425670,114.161419,149.80
22.425651,114.161491,151.00
22.425643,114.161549,152.20
22.425609,114.161642,153.80
22.425588,114.161721,155.20
22.425514,114.161858,156.60
22.425456,114.161922,157.40
22.425420,114.161950,157.80
22.425329,114.161986,158.00
22.425292,114.161997,158.20
22.425235,114.162003,158.40
22.425081,114.162013,158.60
22.424952,114.162027,158.80
22.424932,114.162040,158.80
22.424896,114.162024,158.80
22.424906,114.162009,158.80
22.424966,114.162014,159.00
22.425005,114.162011,159.00
22.425107,114.162019,159.00
22.425204,114.162001,159.00
22.425299,114.162015,159.00
22.425368,114.162003,158.80
22.425357,114.162006,158.60
