lat,lng,ele
22.431511,114.104850,54.60
22.431505,114.104967,54.70
22.431492,114.105103,54.70
22.431485,114.105232,54.80
22.431471,114.105378,54.90
22.431459,114.105526,55.10
22.431449,114.105681,55.40
22.431438,114.105847,55.80
22.431428,114.106010,56.30
22.431439,114.106173,56.10
22.431478,114.106337,56.50
22.431527,114.106498,57.20
22.431591,114.106659,58.20
22.431648,114.106809,59.10
22.431684,114.106972,60.00
22.431700,114.107132,61.00
22.431694,114.107294,62.00
22.431663,114.107452,63.10
22.431626,114.107603,64.00
22.431580,114.107753,65.00
22.431526,114.107904,66.00
22.431475,114.108060,67.20
22.431430,114.108221,68.60
22.431407,114.108393,70.00
22.431409,114.108562,71.50
22.431433,114.108726,72.90
22.431459,114.108895,74.50
22.431533,114.109029,75.90
22.431626,114.109156,77.40
22.431733,114.109273,79.40
22.431832,114.109374,81.50
22.431903,114.109497,83.80
22.431950,114.109627,86.00
22.431981,114.109766,88.00
22.432013,114.109914,89.50
22.432039,114.110072,91.20
22.432069,114.110241,93.20
22.432116,114.110406,95.50
22.432177,114.110560,97.70
22.432247,114.110709,100.00
22.432327,114.110855,102.30
22.432410,114.111013,104.80
22.432478,114.111174,107.30
22.432532,114.111342,109.80
22.432577,114.111511,112.50
22.432622,114.111688,115.20
22.432669,114.111864,117.90
22.432702,114.112042,120.50
22.432714,114.112218,123.10
22.432708,114.112386,125.60
22.432689,114.112552,127.80
22.432673,114.112723,130.10
22.432654,114.112886,132.20
22.432636,114.113053,134.40
22.432621,114.113224,136.60
22.432604,114.113401,138.90
22.432586,114.113575,141.20
22.432578,114.113755,143.30
22.432577,114.113940,145.40
22.432589,114.114123,147.50
22.432606,114.114304,149.80
22.432628,114.114472,151.80
22.432640,114.114643,153.90
22.432665,114.114808,155.90
22.432725,114.114950,157.90
22.432801,114.115082,159.70
22.432884,114.115202,161.50
22.432966,114.115318,163.30
22.433037,114.115443,165.10
22.433095,114.115572,167.00
22.433131,114.115696,168.80
22.433167,114.115806,170.50
22.433205,114.115910,172.10
22.433228,114.115999,173.30
22.433246,114.116073,174.10
22.433265,114.116145,174.80
22.433276,114.116212,175.20
22.433292,114.116268,175.40
22.433304,114.116326,175.50
22.433321,114.116377,175.40
22.433334,114.116423,175.20
22.433346,114.116475,174.80
22.433358,114.116519,174.50
22.433372,114.116561,174.10
22.433384,114.116612,173.60
22.433390,114.116666,173.00
22.433406,114.116712,172.50
22.433422,114.116762,171.90
22.433435,114.116816,171.30
22.433449,114.116875,170.70
22.433460,114.116935,170.10
22.433472,114.116996,169.60
22.433482,114.117058,169.00
22.433494,114.117118,168.40
22.433507,114.117183,167.90
22.433521,114.117247,167.50
22.433538,114.117308,167.10
22.433562,114.117362,166.70
22.433588,114.117412,166.40
22.433618,114.117460,166.10
22.433649,114.117506,166.00
22.433681,114.117552,165.80
22.433715,114.117597,165.70
22.433746,114.117640,165.20
22.433779,114.117681,164.80
22.433814,114.117724,164.30
22.433850,114.117766,163.90
22.433878,114.117819,163.40
22.433908,114.117872,162.80
22.433939,114.117914,162.40
22.433973,114.117948,161.90
22.434002,114.117990,161.50
22.434034,114.118030,161.00
22.434068,114.118074,160.40
22.434102,114.118119,159.90
22.434135,114.118154,159.50
22.434169,114.118181,159.00
22.434197,114.118217,158.50
22.434225,114.118259,158.00
22.434254,114.118297,157.50
22.434281,114.118330,157.00
22.434309,114.118362,156.50
22.434339,114.118402,155.90
22.434364,114.118447,155.30
22.434391,114.118487,154.70
22.434421,114.118517,154.20
22.434447,114.118545,153.70
22.434477,114.118577,153.10
22.434507,114.118611,152.50
22.434535,114.118640,152.00
22.434563,114.118679,151.40
22.434591,114.118713,150.80
22.434618,114.118743,150.30
22.434646,114.118774,149.80
22.434674,114.118811,149.20
22.434698,114.118851,148.60
22.434725,114.118883,148.10
22.434759,114.118915,147.50
22.434783,114.118949,147.00
22.434808,114.118984,146.50
22.434834,114.119018,146.00
22.434864,114.119048,145.50
22.434895,114.119077,144.90
22.434920,114.119105,144.50
22.434952,114.119131,143.90
22.434980,114.119164,143.40
22.435011,114.119195,142.80
22.435041,114.119222,142.30
22.435062,114.119251,141.90
22.435084,114.119280,141.40
22.435108,114.119308,140.90
22.435135,114.119331,140.50
22.435163,114.119354,140.00
22.435193,114.119383,139.50
22.435223,114.119403,139.00
22.435249,114.119430,138.60
22.435272,114.119455,138.10
22.435300,114.119484,137.60
22.435332,114.119510,137.10
22.435354,114.119542,136.60
22.435376,114.119578,136.10
22.435404,114.119605,135.70
22.435432,114.119635,135.20
22.435458,114.119675,134.60
22.435482,114.119709,134.10
22.435510,114.119738,133.60
22.435536,114.119767,133.20
22.435567,114.119796,132.70
22.435593,114.119825,132.20
22.435619,114.119853,131.80
