lat,lng,ele
22.404154,114.221704,7.60
22.404154,114.221704,8.20
22.404147,114.221719,8.20
22.404138,114.221734,8.20
22.404129,114.221753,8.60
22.404121,114.221776,8.80
22.404111,114.221800,8.80
22.404101,114.221825,8.80
22.404089,114.221850,8.80
22.404076,114.221876,8.60
22.404062,114.221901,8.60
22.404047,114.221925,8.60
22.404034,114.221949,9.40
22.404024,114.221974,9.60
22.404013,114.222002,9.60
22.404000,114.222030,9.60
22.403989,114.222057,9.60
22.403977,114.222085,9.60
22.403964,114.222110,9.60
22.403950,114.222138,9.60
22.403936,114.222167,10.40
22.403922,114.222196,9.80
22.403906,114.222226,9.80
22.403891,114.222256,9.80
22.403876,114.222285,9.80
22.403859,114.222311,10.00
22.403840,114.222338,10.40
22.403819,114.222366,10.40
22.403796,114.222397,10.40
22.403772,114.222431,10.40
22.403746,114.222464,10.00
22.403721,114.222498,10.00
22.403698,114.222529,10.00
22.403674,114.222560,10.40
22.403652,114.222594,9.80
22.403631,114.222626,9.80
22.403611,114.222659,9.80
22.403593,114.222696,10.00
22.403575,114.222734,10.00
22.403561,114.222773,10.00
22.403548,114.222815,10.00
22.403532,114.222862,10.00
22.403517,114.222909,10.00
22.403504,114.222956,10.40
22.403493,114.223003,10.40
22.403482,114.223050,10.40
22.403474,114.223102,10.40
22.403464,114.223157,10.60
22.403453,114.223211,10.60
22.403439,114.223261,10.60
22.403424,114.223312,10.60
22.403410,114.223361,9.40
22.403399,114.223411,9.40
22.403391,114.223464,9.40
22.403382,114.223522,10.40
22.403372,114.223581,10.40
22.403357,114.223640,10.40
22.403341,114.223699,10.40
22.403320,114.223755,10.40
22.403294,114.223805,10.80
22.403267,114.223858,9.80
22.403240,114.223909,9.80
22.403212,114.223958,9.80
22.403183,114.224008,10.60
22.403155,114.224059,10.60
22.403128,114.224110,10.60
22.403098,114.224162,10.60
22.403068,114.224215,10.60
22.403041,114.224269,10.00
22.403014,114.224321,10.00
22.402989,114.224371,10.00
22.402964,114.224425,10.80
22.402937,114.224482,10.60
22.402910,114.224538,10.60
22.402886,114.224597,10.60
22.402862,114.224655,10.60
22.402842,114.224708,11.00
22.402822,114.224759,11.00
22.402805,114.224808,11.00
22.402788,114.224856,11.00
22.402775,114.224902,10.80
22.402762,114.224944,11.00
22.402749,114.224985,11.00
22.402742,114.225025,11.00
22.402736,114.225062,10.80
22.402729,114.225097,11.00
22.402723,114.225128,11.00
22.402717,114.225156,11.00
22.402711,114.225182,11.00
22.402703,114.225205,11.20
22.402696,114.225228,11.20
22.402692,114.225250,11.20
22.402688,114.225273,11.60
22.402684,114.225293,11.80
22.402680,114.225309,11.80
22.402674,114.225328,11.80
22.402667,114.225344,11.80
22.402656,114.225363,11.20
22.402643,114.225388,11.20
22.402633,114.225413,11.20
22.402621,114.225437,11.20
22.402610,114.225457,11.80
22.402596,114.225476,11.20
22.402582,114.225498,11.20
22.402563,114.225523,11.20
22.402543,114.225548,11.80
22.402517,114.225573,11.60
22.402493,114.225601,11.60
22.402466,114.225630,11.60
22.402435,114.225662,11.60
22.402403,114.225694,11.20
22.402369,114.225724,11.20
22.402334,114.225755,11.20
22.402297,114.225788,11.20
22.402261,114.225822,11.40
22.402225,114.225859,11.40
22.402188,114.225894,11.40
22.402153,114.225928,11.40
22.402119,114.225962,11.40
22.402085,114.225996,11.00
22.402051,114.226030,11.00
22.402017,114.226066,11.00
22.401981,114.226101,11.60
22.401946,114.226133,11.00
22.401913,114.226165,11.00
22.401882,114.226196,11.00
22.401850,114.226226,11.00
22.401820,114.226255,13.00
22.401792,114.226284,13.00
22.401765,114.226308,13.00
22.401739,114.226329,13.00
22.401715,114.226349,13.60
22.401691,114.226369,13.60
22.401667,114.226386,13.60
22.401643,114.226402,13.60
22.401620,114.226417,14.40
22.401600,114.226430,14.20
22.401580,114.226443,14.20
22.401559,114.226458,14.20
22.401537,114.226473,15.20
22.401514,114.226489,15.60
22.401491,114.226504,15.60
22.401471,114.226520,15.60
22.401450,114.226534,15.60
22.401429,114.226547,16.20
22.401410,114.226557,16.20
22.401390,114.226566,16.20
22.401371,114.226576,16.80
22.401352,114.226586,17.00
22.401335,114.226598,17.00
22.401319,114.226608,17.00
22.401303,114.226617,17.00
22.401287,114.226627,17.00
22.401270,114.226637,17.40
22.401251,114.226648,17.40
22.401232,114.226659,17.40
22.401211,114.226672,17.40
22.401189,114.226684,18.00
22.401164,114.226697,18.00
22.401139,114.226711,18.00
22.401114,114.226725,18.00
22.401089,114.226740,18.80
