lat,lng,ele
22.425943,114.201177,21.80
22.425930,114.201156,21.80
22.425918,114.201138,22.20
22.425907,114.201118,22.20
22.425895,114.201098,22.20
22.425880,114.201079,22.20
22.425865,114.201060,22.60
22.425852,114.201039,22.60
22.425840,114.201018,22.60
22.425829,114.200997,23.60
22.425818,114.200975,23.80
22.425806,114.200957,23.80
22.425795,114.200941,23.80
22.425783,114.200925,23.80
22.425770,114.200906,24.40
22.425758,114.200886,24.80
22.425747,114.200865,24.80
22.425734,114.200844,24.80
22.425719,114.200822,25.20
22.425705,114.200798,25.80
22.425693,114.200775,25.80
22.425680,114.200751,25.80
22.425666,114.200726,26.20
22.425651,114.200704,26.80
22.425638,114.200683,26.80
22.425625,114.200664,26.80
22.425614,114.200644,27.40
22.425605,114.200624,27.60
22.425599,114.200597,27.60
22.425595,114.200568,27.60
22.425594,114.200535,27.60
22.425593,114.200504,27.80
22.425595,114.200474,27.80
22.425600,114.200443,27.80
22.425609,114.200412,27.80
22.425619,114.200382,27.80
22.425633,114.200352,28.40
22.425647,114.200323,28.40
22.425663,114.200297,28.40
22.425679,114.200269,28.40
22.425692,114.200243,29.20
22.425705,114.200216,29.20
22.425719,114.200191,29.20
22.425732,114.200166,29.20
22.425743,114.200142,29.60
22.425752,114.200119,29.60
22.425762,114.200096,29.60
22.425772,114.200076,30.60
22.425782,114.200055,30.60
22.425792,114.200037,31.20
22.425799,114.200021,31.20
22.425807,114.200004,31.20
22.425813,114.199983,32.00
22.425817,114.199964,32.20
22.425824,114.199946,32.20
22.425830,114.199925,32.20
22.425835,114.199903,32.20
22.425841,114.199879,32.80
22.425848,114.199857,32.80
22.425852,114.199835,32.80
22.425855,114.199814,33.80
22.425860,114.199795,33.80
22.425868,114.199778,34.20
22.425880,114.199761,34.20
22.425892,114.199743,34.20
22.425905,114.199726,34.20
22.425919,114.199710,34.80
22.425934,114.199696,34.80
22.425950,114.199681,34.80
22.425966,114.199668,35.80
22.425981,114.199655,36.20
22.425996,114.199642,36.20
22.426009,114.199627,36.20
22.426018,114.199610,37.20
22.426028,114.199593,37.20
22.426042,114.199577,37.40
22.426056,114.199563,37.40
22.426068,114.199546,37.40
22.426078,114.199528,38.40
22.426090,114.199514,38.80
22.426103,114.199500,38.80
22.426117,114.199489,38.80
22.426129,114.199478,39.80
22.426142,114.199465,39.80
22.426153,114.199451,39.80
22.426164,114.199435,39.80
22.426174,114.199420,40.80
22.426183,114.199405,41.60
22.426187,114.199397,41.60
22.426187,114.199397,41.60
22.426232,114.199308,43.00
22.426234,114.199287,43.80
22.426236,114.199263,44.40
22.426241,114.199240,44.40
22.426246,114.199218,44.40
22.426251,114.199195,45.40
22.426257,114.199172,46.20
22.426263,114.199148,46.20
22.426267,114.199123,46.20
22.426268,114.199097,47.20
22.426272,114.199074,48.00
22.426278,114.199050,48.00
22.426282,114.199025,48.00
22.426282,114.199002,48.00
22.426282,114.198979,49.00
22.426283,114.198957,49.80
22.426283,114.198937,49.80
22.426282,114.198916,49.80
22.426281,114.198895,50.80
22.426281,114.198880,50.80
22.426281,114.198873,50.80
22.426281,114.198873,50.80
22.426245,114.198752,53.40
22.426242,114.198728,53.40
22.426240,114.198704,53.40
22.426240,114.198680,54.40
22.426239,114.198655,55.20
22.426239,114.198630,55.20
22.426238,114.198608,55.20
22.426236,114.198587,55.20
22.426234,114.198564,56.20
22.426231,114.198541,57.20
22.426228,114.198516,57.20
22.426224,114.198493,57.20
22.426223,114.198470,57.80
22.426224,114.198448,58.00
22.426228,114.198426,58.00
22.426234,114.198406,58.00
22.426242,114.198387,58.80
22.426249,114.198369,59.00
22.426255,114.198353,59.00
22.426261,114.198339,59.00
22.426271,114.198323,59.00
22.426279,114.198309,59.60
22.426286,114.198294,60.20
22.426296,114.198277,60.20
22.426306,114.198258,60.20
22.426314,114.198238,61.00
22.426322,114.198217,61.40
22.426331,114.198194,61.40
22.426336,114.198170,61.40
22.426341,114.198144,62.40
22.426341,114.198118,62.60
22.426339,114.198094,62.60
22.426337,114.198073,62.60
22.426336,114.198055,63.00
22.426334,114.198038,63.00
22.426327,114.198025,63.20
22.426342,114.197902,63.80
22.426339,114.197882,64.20
22.426337,114.197860,64.20
22.426335,114.197839,64.20
22.426332,114.197819,65.20
22.426326,114.197801,65.60
22.426320,114.197782,65.60
22.426315,114.197763,65.60
22.426313,114.197744,66.60
22.426307,114.197726,67.20
22.426297,114.197709,67.20
22.426282,114.197693,67.20
22.426268,114.197678,67.20
22.426255,114.197664,67.20
22.426245,114.197648,68.60
22.426238,114.197632,68.60
22.426238,114.197616,68.60
22.426242,114.197601,69.40
22.426247,114.197587,69.60
22.426253,114.197578,69.60
22.426261,114.197570,69.60
22.426267,114.197561,69.60
22.426276,114.197553,68.60
22.426287,114.197547,68.60
22.426296,114.197540,68.60
22.426301,114.197535,69.60
22.426369,114.197533,71.00
22.426381,114.197517,71.00
22.426389,114.197498,71.00
22.426395,114.197478,72.00
22.426404,114.197459,72.40
22.426419,114.197443,72.40
22.426437,114.197431,72.40
22.426453,114.197419,73.40
22.426468,114.197404,73.40
22.426479,114.197385,74.00
22.426487,114.197364,74.00
22.426493,114.197344,74.00
22.426500,114.197325,75.00
22.426508,114.197306,76.00
22.426513,114.197287,76.00
22.426513,114.197267,76.00
22.426510,114.197247,77.00
22.426509,114.197228,77.60
22.426507,114.197211,77.60
22.426503,114.197198,77.60
