lat,lng,ele
22.378641,114.204916,5.00
22.378621,114.204932,4.20
22.378600,114.204947,4.20
22.378565,114.204968,4.40
22.378532,114.204985,4.40
22.378506,114.204992,4.40
22.378477,114.204988,4.40
22.378444,114.204979,4.40
22.378410,114.204966,4.40
22.378375,114.204949,3.80
22.378341,114.204928,3.80
22.378309,114.204899,3.80
22.378282,114.204863,4.20
22.378262,114.204819,3.60
22.378249,114.204771,3.60
22.378239,114.204722,3.60
22.378232,114.204675,4.20
22.378226,114.204634,4.00
22.378221,114.204595,4.00
22.378216,114.204559,4.00
22.378210,114.204527,4.00
22.378206,114.204494,3.80
22.378200,114.204456,3.80
22.378193,114.204416,3.80
22.378186,114.204375,3.80
22.378180,114.204333,3.80
22.378171,114.204289,4.20
22.378160,114.204242,4.20
22.378147,114.204194,4.20
22.378131,114.204144,4.00
22.378114,114.204090,4.60
22.378096,114.204035,4.60
22.378076,114.203978,4.60
22.378054,114.203920,3.80
22.378033,114.203862,3.80
22.378012,114.203803,3.80
22.377992,114.203745,3.80
22.377972,114.203686,3.80
22.377950,114.203624,3.40
22.377929,114.203560,3.00
22.377906,114.203495,3.00
22.377883,114.203427,3.00
22.377856,114.203360,3.00
22.377831,114.203294,2.40
22.377804,114.203227,2.40
22.377776,114.203159,2.40
22.377748,114.203087,2.00
22.377719,114.203014,1.80
22.377692,114.202941,1.80
22.377663,114.202868,1.80
22.377637,114.202796,2.40
22.377614,114.202723,3.00
22.377595,114.202649,3.00
22.377579,114.202573,3.00
22.377563,114.202496,3.00
22.377553,114.202420,2.60
22.377544,114.202344,2.80
22.377537,114.202265,2.80
22.377530,114.202187,2.80
22.377522,114.202108,2.80
22.377515,114.202030,2.80
22.377509,114.201951,2.80
22.377503,114.201871,2.80
22.377495,114.201790,2.60
22.377486,114.201710,3.00
22.377479,114.201632,3.00
22.377471,114.201553,3.00
22.377465,114.201473,3.00
22.377457,114.201392,3.00
22.377448,114.201310,3.40
22.377441,114.201230,3.40
22.377433,114.201151,3.40
22.377425,114.201075,3.40
22.377420,114.201000,3.20
22.377416,114.200924,3.20
22.377412,114.200850,3.20
22.377406,114.200777,4.20
22.377400,114.200705,4.40
22.377394,114.200637,4.40
22.377383,114.200572,4.40
22.377371,114.200507,5.40
22.377357,114.200444,5.60
22.377341,114.200381,5.60
22.377324,114.200319,5.60
22.377306,114.200259,5.60
22.377290,114.200201,6.60
22.377275,114.200147,7.00
22.377257,114.200094,7.00
22.377236,114.200046,7.00
22.377212,114.200000,8.00
22.377188,114.199958,8.60
22.377166,114.199920,8.60
22.377145,114.199886,8.60
22.377126,114.199855,9.60
22.377109,114.199828,11.00
22.377092,114.199804,11.00
22.377074,114.199781,11.00
22.377057,114.199760,11.00
22.377039,114.199741,11.40
22.377021,114.199722,12.00
22.377005,114.199703,12.00
22.376986,114.199686,12.00
22.376967,114.199666,12.60
22.376950,114.199649,13.00
22.376932,114.199631,13.00
22.376915,114.199615,13.00
22.376897,114.199598,13.80
22.376880,114.199584,13.80
22.376863,114.199568,13.80
22.376848,114.199554,13.80
22.376831,114.199541,14.80
22.376813,114.199529,15.20
22.376796,114.199516,15.20
22.376778,114.199504,15.20
22.376761,114.199492,15.20
22.376743,114.199479,16.20
22.376725,114.199466,16.40
22.376707,114.199452,16.40
22.376689,114.199438,16.40
22.376671,114.199425,16.40
22.376653,114.199412,17.20
22.376635,114.199399,17.20
22.376618,114.199385,17.20
22.376601,114.199370,17.80
22.376584,114.199355,18.40
22.376567,114.199342,18.40
22.376549,114.199328,18.40
22.376533,114.199316,18.40
22.376518,114.199304,18.40
22.376502,114.199293,18.80
22.376486,114.199283,18.80
22.376471,114.199272,18.80
22.376457,114.199261,19.80
22.376442,114.199250,19.80
22.376427,114.199238,19.80
22.376411,114.199226,19.80
22.376396,114.199215,20.40
22.376381,114.199203,20.80
22.376366,114.199191,20.80
22.376351,114.199179,20.80
22.376336,114.199168,20.80
22.376322,114.199158,21.40
22.376310,114.199147,21.40
22.376298,114.199139,21.40
22.376283,114.199128,21.40
22.376267,114.199116,22.20
22.376251,114.199105,22.20
22.376235,114.199093,22.20
22.376220,114.199081,22.20
22.376204,114.199068,22.80
22.376189,114.199055,23.00
22.376174,114.199043,23.00
22.376158,114.199032,23.00
22.376142,114.199020,23.60
22.376126,114.199010,23.80
22.376110,114.198999,23.80
22.376092,114.198989,23.80
22.376075,114.198979,23.80
22.376058,114.198969,24.40
22.376042,114.198958,24.80
22.376025,114.198948,24.80
22.376007,114.198940,24.80
22.375989,114.198932,24.80
22.375971,114.198924,25.40
22.375952,114.198916,25.40
22.375935,114.198909,25.40
22.375917,114.198903,26.00
22.375898,114.198898,26.40
22.375879,114.198893,26.40
22.375858,114.198889,26.40
22.375837,114.198886,26.80
22.375817,114.198883,27.00
22.375799,114.198881,27.00
22.375779,114.198878,27.00
22.375758,114.198877,27.00
22.375736,114.198877,28.00
22.375714,114.198876,28.40
22.375691,114.198876,28.40
22.375669,114.198877,28.40
22.375648,114.198879,29.00
22.375626,114.198883,29.00
22.375604,114.198885,29.00
22.375583,114.198888,29.00
22.375562,114.198892,30.00
22.375542,114.198896,30.20
22.375522,114.198900,30.20
22.375503,114.198904,30.20
22.375485,114.198908,31.00
22.375467,114.198913,31.00
22.375449,114.198920,31.00
22.375431,114.198927,31.00
22.375412,114.198933,31.00
22.375395,114.198942,31.80
22.375376,114.198950,32.40
22.375360,114.198958,32.40
22.375344,114.198966,32.40
22.375329,114.198974,32.40
22.375316,114.198981,33.00
22.375302,114.198988,33.00
22.375289,114.198994,33.00
22.375275,114.199003,33.00
22.375263,114.199012,33.60
22.375250,114.199022,34.00
22.375236,114.199031,34.00
22.375222,114.199039,34.00
22.375209,114.199049,34.00
22.375195,114.199061,34.80
22.375181,114.199071,34.80
22.375166,114.199081,34.80
22.375152,114.199089,35.00
22.375138,114.199098,35.40
22.375125,114.199107,35.40
22.375112,114.199116,35.40
22.375100,114.199124,35.40
22.375087,114.199135,36.00
22.375074,114.199145,36.20
22.375061,114.199153,36.20
22.375047,114.199162,36.20
22.375034,114.199172,36.60
22.375021,114.199181,37.00
22.375007,114.199189,37.00
22.374993,114.199198,37.00
22.374980,114.199207,37.40
22.374966,114.199215,37.60
22.374952,114.199223,37.60
22.374939,114.199230,37.60
22.374925,114.199240,38.20
22.374911,114.199250,38.40
22.374898,114.199258,38.40
22.374884,114.199267,38.40
22.374871,114.199274,38.40
22.374860,114.199283,38.80
22.374849,114.199289,38.80
22.374838,114.199295,38.80
22.374827,114.199302,38.80
22.374814,114.199309,39.40
22.374799,114.199316,39.60
22.374785,114.199325,39.60
22.374770,114.199335,39.60
22.374757,114.199344,40.60
22.374743,114.199353,40.80
22.374729,114.199361,40.80
22.374715,114.199368,40.80
22.374701,114.199373,40.80
22.374686,114.199379,41.40
22.374670,114.199385,41.40
22.374656,114.199391,41.40
22.374642,114.199398,41.40
22.374628,114.199403,42.20
22.374614,114.199410,42.60
22.374599,114.199417,42.60
22.374584,114.199422,42.60
22.374569,114.199425,42.60
22.374553,114.199430,43.00
22.374538,114.199437,43.00
22.374523,114.199443,43.00
22.374508,114.199448,43.00
22.374492,114.199451,43.40
22.374476,114.199455,43.60
22.374460,114.199458,43.60
22.374445,114.199460,43.60
22.374428,114.199463,43.60
22.374413,114.199465,44.20
22.374399,114.199466,44.20
22.374386,114.199464,44.20
22.374370,114.199464,44.80
22.374354,114.199466,45.00
22.374339,114.199464,45.00
22.374323,114.199461,45.00
22.374307,114.199460,45.40
22.374290,114.199458,46.00
22.374272,114.199457,46.00
22.374255,114.199453,46.00
22.374238,114.199451,46.00
22.374221,114.199446,46.00
22.374205,114.199443,46.60
22.374189,114.199437,46.60
22.374173,114.199431,46.60
22.374156,114.199425,46.60
22.374140,114.199418,47.60
22.374123,114.199410,47.60
22.374106,114.199401,47.60
22.374090,114.199393,47.40
22.374075,114.199383,48.20
22.374059,114.199373,48.20
22.374044,114.199363,48.20
22.374029,114.199354,48.20
22.374015,114.199343,48.40
22.374001,114.199332,48.40
22.373988,114.199321,48.40
22.373975,114.199309,48.40
22.373964,114.199298,47.40
22.373952,114.199288,49.00
22.373940,114.199277,49.00
22.373928,114.199264,49.00
22.373917,114.199251,49.60
22.373906,114.199239,50.00
