lat,lng,ele
22.377806,114.195727,20.00
22.377797,114.195728,20.00
22.377778,114.195734,20.20
22.377757,114.195747,20.20
22.377746,114.195767,20.20
22.377744,114.195785,20.40
22.377748,114.195801,20.00
22.377750,114.195820,20.00
22.377747,114.195841,20.00
22.377732,114.195859,20.00
22.377711,114.195879,20.80
22.377692,114.195897,20.00
22.377675,114.195915,20.00
22.377647,114.195934,20.00
22.377623,114.195953,19.80
22.377599,114.195973,19.80
22.377562,114.195998,19.80
22.377514,114.196028,19.80
22.377451,114.196059,19.80
22.377376,114.196089,19.80
22.377281,114.196104,19.80
22.377190,114.196121,19.80
22.377097,114.196127,19.80
22.377009,114.196132,20.80
22.376926,114.196134,20.80
22.376840,114.196139,20.80
22.376754,114.196147,20.80
22.376666,114.196157,21.60
22.376575,114.196162,21.60
22.376486,114.196165,21.60
22.376388,114.196166,21.60
22.376290,114.196169,23.60
22.376193,114.196172,24.60
22.376099,114.196173,24.60
22.376008,114.196181,24.60
22.375921,114.196188,26.60
22.375834,114.196204,27.60
22.375751,114.196216,27.60
22.375669,114.196221,27.60
22.375592,114.196209,27.40
22.375515,114.196184,27.40
22.375452,114.196149,27.40
22.375386,114.196097,27.40
22.375313,114.196034,27.40
22.375238,114.195966,27.20
22.375153,114.195899,26.40
22.375058,114.195840,26.40
22.374945,114.195803,26.40
22.374827,114.195768,29.60
22.374719,114.195761,30.60
22.374600,114.195758,30.60
22.374483,114.195738,30.60
22.374369,114.195724,33.80
22.374254,114.195711,34.80
22.374145,114.195704,34.80
22.374040,114.195693,34.80
22.373942,114.195669,40.60
22.373848,114.195639,40.60
22.373756,114.195601,41.60
22.373657,114.195566,41.60
22.373552,114.195539,41.60
22.373440,114.195528,46.60
22.373327,114.195526,47.60
22.373212,114.195525,47.60
22.373102,114.195523,47.60
22.372999,114.195521,53.40
22.372904,114.195528,54.40
22.372815,114.195549,54.40
22.372739,114.195596,54.40
22.372677,114.195658,56.20
22.372626,114.195734,57.20
22.372587,114.195820,57.20
22.372552,114.195919,57.20
22.372524,114.196030,59.80
22.372499,114.196145,60.80
22.372487,114.196264,60.80
22.372503,114.196376,60.80
22.372547,114.196478,60.80
22.372616,114.196561,63.80
22.372694,114.196628,64.80
22.372783,114.196685,64.80
22.372869,114.196745,64.80
22.372958,114.196784,69.60
22.373040,114.196833,70.60
22.373123,114.196880,70.60
22.373198,114.196925,70.60
22.373260,114.196994,75.60
22.373319,114.197063,76.60
22.373374,114.197149,76.60
22.373421,114.197250,76.60
22.373456,114.197357,76.60
22.373481,114.197460,78.00
22.373506,114.197573,79.00
22.373526,114.197679,79.00
22.373532,114.197780,79.00
22.373514,114.197894,81.80
22.373497,114.198008,82.80
22.373441,114.198112,82.80
22.373390,114.198203,82.80
22.373343,114.198295,87.80
22.373296,114.198380,88.80
22.373240,114.198452,88.80
22.373169,114.198510,88.80
22.373092,114.198554,93.40
22.373007,114.198578,94.40
22.372920,114.198593,94.40
22.372831,114.198593,94.40
22.372738,114.198596,94.40
22.372646,114.198594,98.00
22.372553,114.198589,99.00
22.372459,114.198583,99.00
22.372361,114.198574,99.00
22.372260,114.198567,102.80
22.372158,114.198557,103.80
22.372060,114.198551,103.80
22.371961,114.198546,103.80
22.371863,114.198539,107.60
22.371768,114.198538,108.60
22.371676,114.198537,108.60
22.371588,114.198533,108.60
22.371500,114.198528,112.40
22.371414,114.198523,113.40
22.371335,114.198518,113.40
22.371254,114.198508,113.40
22.371173,114.198490,116.20
22.371091,114.198463,117.20
22.371017,114.198423,117.20
22.370949,114.198371,117.20
22.370894,114.198313,120.40
22.370851,114.198251,120.40
22.370824,114.198183,121.40
22.370805,114.198112,121.40
22.370793,114.198045,121.40
22.370781,114.197981,124.00
22.370772,114.197923,124.00
22.370771,114.197867,124.00
22.370785,114.197812,124.00
22.370804,114.197756,124.20
22.370820,114.197694,124.40
22.370823,114.197627,124.40
22.370804,114.197566,124.40
22.370759,114.197528,124.40
22.370699,114.197517,124.40
22.370630,114.197523,124.40
22.370558,114.197538,124.40
22.370478,114.197561,124.40
22.370388,114.197589,125.40
22.370291,114.197619,126.40
22.370191,114.197652,126.40
22.370096,114.197688,126.40
22.370003,114.197721,129.60
22.369909,114.197757,130.60
22.369809,114.197794,130.60
22.369703,114.197832,130.60
22.369596,114.197872,135.00
22.369486,114.197914,136.00
22.369372,114.197958,136.00
22.369256,114.198002,136.00
22.369139,114.198044,136.00
22.369022,114.198084,141.00
22.368911,114.198127,142.00
22.368801,114.198171,142.00
22.368695,114.198213,142.00
22.368593,114.198257,148.40
22.368494,114.198300,149.40
22.368398,114.198338,149.40
22.368306,114.198368,149.40
22.368215,114.198392,152.20
22.368127,114.198410,153.20
22.368046,114.198430,153.20
22.367975,114.198452,153.20
22.367911,114.198481,156.40
22.367857,114.198514,157.40
22.367808,114.198553,157.40
22.367767,114.198597,157.40
22.367739,114.198642,158.20
22.367721,114.198689,158.20
22.367705,114.198736,159.20
22.367692,114.198785,159.20
22.367680,114.198837,159.20
22.367675,114.198894,160.40
22.367675,114.198954,161.40
22.367674,114.199014,161.40
22.367672,114.199042,161.40
22.367666,114.199117,163.00
22.367666,114.199137,164.00
22.367666,114.199157,164.00
