lat,lng,ele
22.397097,114.191629,37.80
22.397085,114.191661,38.00
22.397074,114.191692,38.60
22.397062,114.191724,38.60
22.397056,114.191760,38.60
22.397053,114.191773,38.60
22.397041,114.191803,38.60
22.397031,114.191834,39.20
22.397021,114.191863,39.80
22.397009,114.191909,39.80
22.397004,114.191925,39.80
22.396996,114.191954,39.80
22.396984,114.191983,40.40
22.396974,114.192015,40.40
22.396966,114.192046,40.40
22.396958,114.192077,41.00
22.396949,114.192107,40.80
22.396939,114.192139,40.80
22.396928,114.192171,40.80
22.396913,114.192204,41.80
22.396899,114.192239,42.00
22.396886,114.192273,42.00
22.396873,114.192305,42.00
22.396859,114.192335,42.80
22.396844,114.192365,42.80
22.396829,114.192394,42.80
22.396813,114.192421,42.80
22.396797,114.192447,42.80
22.396778,114.192472,43.60
22.396758,114.192497,43.80
22.396737,114.192518,43.80
22.396718,114.192539,43.80
22.396696,114.192561,44.40
22.396673,114.192583,44.80
22.396651,114.192602,44.80
22.396628,114.192619,44.80
22.396606,114.192634,44.80
22.396582,114.192651,45.60
22.396557,114.192668,45.60
22.396532,114.192683,45.60
22.396507,114.192696,45.60
22.396480,114.192709,46.00
22.396454,114.192725,46.40
22.396430,114.192741,46.40
22.396404,114.192756,46.40
22.396376,114.192771,47.40
22.396352,114.192784,47.20
22.396328,114.192798,47.20
22.396306,114.192809,47.20
22.396285,114.192820,48.20
22.396267,114.192827,48.20
22.396247,114.192837,48.20
22.396229,114.192845,48.20
22.396209,114.192855,48.80
22.396188,114.192864,49.40
22.396168,114.192875,49.40
22.396147,114.192886,49.40
22.396126,114.192898,49.40
22.396105,114.192908,49.40
22.396083,114.192919,50.00
22.396062,114.192931,50.00
22.396028,114.192947,50.00
22.396017,114.192953,50.40
22.395983,114.192970,50.40
22.395972,114.192976,50.40
22.395949,114.192987,50.40
22.395927,114.192998,51.40
22.395906,114.193009,51.20
22.395886,114.193018,51.20
22.395865,114.193027,51.20
22.395842,114.193037,51.20
22.395820,114.193046,52.20
22.395798,114.193054,52.20
22.395776,114.193063,52.20
22.395755,114.193073,52.20
22.395734,114.193082,52.40
22.395714,114.193090,53.40
22.395692,114.193097,53.40
22.395670,114.193103,53.40
22.395647,114.193111,53.40
22.395622,114.193120,54.20
22.395598,114.193128,54.20
22.395576,114.193136,54.20
22.395552,114.193143,54.20
22.395530,114.193149,55.00
22.395506,114.193156,55.00
22.395483,114.193164,55.00
22.395461,114.193170,55.00
22.395440,114.193176,55.80
22.395419,114.193181,56.00
22.395397,114.193186,56.00
22.395376,114.193191,56.00
22.395354,114.193197,56.00
22.395331,114.193202,56.20
22.395309,114.193205,56.20
22.395286,114.193208,56.20
22.395265,114.193210,56.20
22.395243,114.193213,57.20
22.395222,114.193215,57.40
22.395202,114.193217,57.40
22.395179,114.193220,57.40
22.395157,114.193223,57.40
22.395134,114.193225,57.80
22.395110,114.193228,57.80
22.395087,114.193231,57.80
22.395065,114.193236,58.20
22.395041,114.193242,58.40
22.395019,114.193246,58.40
22.394996,114.193250,58.40
22.394971,114.193256,58.80
22.394948,114.193263,58.80
22.394925,114.193270,58.80
22.394903,114.193276,58.80
22.394880,114.193282,58.80
22.394858,114.193288,59.40
22.394838,114.193296,59.80
22.394818,114.193304,59.80
22.394798,114.193311,59.80
22.394779,114.193319,59.80
22.394759,114.193328,60.20
22.394739,114.193336,60.20
22.394720,114.193344,60.20
22.394700,114.193350,60.20
22.394681,114.193357,61.20
22.394661,114.193366,61.20
22.394642,114.193375,61.20
22.394623,114.193385,61.20
22.394602,114.193395,62.00
22.394580,114.193405,61.80
22.394559,114.193413,61.80
22.394540,114.193420,61.80
22.394520,114.193430,62.60
22.394501,114.193440,62.60
22.394481,114.193450,62.60
22.394460,114.193460,62.60
22.394440,114.193468,63.20
22.394419,114.193477,63.60
22.394397,114.193486,63.60
22.394377,114.193494,63.60
22.394357,114.193502,63.60
22.394337,114.193511,64.40
22.394318,114.193519,64.40
22.394298,114.193528,64.40
22.394279,114.193537,64.40
22.394258,114.193547,64.40
22.394239,114.193555,65.00
22.394219,114.193563,65.00
22.394200,114.193569,65.00
22.394179,114.193573,65.80
22.394156,114.193574,65.80
22.394133,114.193576,66.20
22.394111,114.193578,66.20
22.394090,114.193580,66.20
22.394070,114.193579,66.80
22.394050,114.193579,66.20
22.394029,114.193578,66.20
22.394010,114.193580,66.20
22.393990,114.193583,67.20
22.393970,114.193585,67.60
22.393949,114.193588,67.60
22.393931,114.193591,67.60
22.393913,114.193593,68.20
22.393898,114.193595,68.20
22.393881,114.193597,68.60
22.393864,114.193599,68.60
22.393844,114.193601,68.60
22.393824,114.193601,68.60
22.393803,114.193602,69.00
22.393781,114.193605,69.00
22.393759,114.193606,69.00
22.393739,114.193607,69.80
22.393719,114.193610,69.80
22.393699,114.193612,69.80
22.393679,114.193615,69.80
22.393658,114.193617,70.40
22.393636,114.193620,70.60
22.393617,114.193622,70.60
22.393596,114.193627,70.60
22.393575,114.193633,71.40
22.393555,114.193641,71.40
22.393538,114.193648,71.20
22.393520,114.193656,71.20
22.393496,114.193663,71.20
