lat,lng,ele
22.459584,114.180037,6.70
22.459604,114.180075,6.70
22.459608,114.180136,6.70
22.459604,114.180190,6.60
22.459602,114.180251,6.60
22.459599,114.180312,6.70
22.459595,114.180373,6.70
22.459591,114.180433,6.80
22.459583,114.180495,6.80
22.459570,114.180564,6.90
22.459557,114.180632,7.00
22.459547,114.180700,7.00
22.459532,114.180778,7.10
22.459521,114.180854,7.30
22.459511,114.180937,7.40
22.459503,114.181013,7.50
22.459499,114.181097,7.70
22.459501,114.181172,7.90
22.459511,114.181257,8.10
22.459537,114.181326,8.40
22.459576,114.181386,8.80
22.459621,114.181429,9.40
22.459672,114.181487,10.20
22.459716,114.181533,11.00
22.459754,114.181564,11.60
22.459787,114.181594,12.20
22.459812,114.181625,12.70
22.459834,114.181647,13.00
22.459853,114.181677,13.50
22.459878,114.181709,13.90
22.459898,114.181747,14.40
22.459915,114.181770,14.70
22.459934,114.181800,15.00
22.459957,114.181831,15.30
22.459980,114.181861,15.60
22.460010,114.181877,15.90
22.460042,114.181892,16.20
22.460082,114.181907,16.50
22.460124,114.181923,16.80
22.460172,114.181945,17.20
22.460229,114.181968,17.70
22.460280,114.181991,18.10
22.460322,114.182014,18.50
22.460364,114.182029,19.00
22.460397,114.182052,19.40
22.460429,114.182068,19.80
22.460458,114.182083,20.20
22.460490,114.182098,20.60
22.460521,114.182113,21.10
22.460552,114.182129,21.60
22.460582,114.182144,22.10
22.460611,114.182167,22.60
22.460641,114.182189,23.00
22.460664,114.182204,23.40
22.460695,114.182235,23.90
22.460719,114.182265,24.40
22.460746,114.182310,25.00
22.460780,114.182342,25.50
22.460818,114.182357,25.90
22.460860,114.182373,26.20
22.460897,114.182380,26.50
22.460929,114.182388,26.80
22.460963,114.182396,27.00
22.460996,114.182411,27.20
22.461028,114.182426,27.40
22.461060,114.182441,27.70
22.461095,114.182472,27.90
22.461131,114.182495,28.20
22.461164,114.182510,28.40
22.461198,114.182533,28.70
22.461230,114.182556,28.90
22.461261,114.182586,29.20
22.461292,114.182617,29.50
22.461320,114.182647,29.70
22.461362,114.182677,30.10
22.461398,114.182704,30.30
22.461463,114.182752,30.80
22.461513,114.182792,31.20
22.461549,114.182815,31.50
22.461606,114.182830,31.80
22.461672,114.182831,32.10
22.461735,114.182823,32.50
22.461780,114.182816,32.80
22.461820,114.182808,33.10
22.461862,114.182815,33.50
22.461907,114.182816,34.00
22.461948,114.182816,34.50
22.461978,114.182823,34.90
22.462009,114.182831,35.30
22.462033,114.182838,35.60
22.462064,114.182853,36.10
22.462089,114.182861,36.40
22.462112,114.182876,36.80
22.462137,114.182891,37.20
22.462165,114.182907,37.60
22.462196,114.182937,38.10
22.462230,114.182960,38.50
22.462261,114.182983,38.90
22.462293,114.183006,39.30
22.462327,114.183029,39.80
22.462363,114.183052,40.20
22.462398,114.183074,40.70
22.462428,114.183082,41.00
22.462455,114.183098,41.40
22.462487,114.183105,41.90
22.462514,114.183120,42.40
22.462543,114.183136,42.90
22.462571,114.183143,43.30
22.462597,114.183158,43.80
22.462621,114.183166,44.20
22.462650,114.183174,44.70
22.462678,114.183174,45.10
22.462710,114.183174,45.60
22.462752,114.183174,46.30
22.462800,114.183174,47.10
22.462844,114.183167,47.80
22.462877,114.183167,48.30
22.462907,114.183167,48.70
22.462939,114.183167,49.20
22.462970,114.183174,49.60
22.463004,114.183189,50.10
22.463035,114.183196,50.50
22.463065,114.183212,50.90
22.463098,114.183227,51.30
22.463131,114.183249,51.70
22.463165,114.183258,52.10
22.463195,114.183273,52.40
22.463226,114.183288,52.80
22.463260,114.183289,53.20
22.463292,114.183296,53.60
22.463328,114.183296,54.00
22.463361,114.183296,54.40
22.463392,114.183296,54.90
22.463418,114.183289,55.20
22.463441,114.183274,55.60
22.463463,114.183267,55.90
22.463487,114.183258,56.30
22.463514,114.183258,56.70
22.463548,114.183266,57.10
22.463577,114.183281,57.60
22.463620,114.183296,58.10
22.463658,114.183296,58.50
22.463691,114.183296,58.90
22.463724,114.183303,59.20
22.463760,114.183319,59.60
22.463788,114.183349,60.00
22.463823,114.183387,60.30
22.463842,114.183432,60.60
22.463870,114.183478,60.90
22.463903,114.183539,61.10
22.463924,114.183600,61.20
22.463945,114.183669,61.30
22.463975,114.183722,61.30
22.464023,114.183783,61.40
22.464076,114.183844,61.40
22.464127,114.183905,61.50
22.464185,114.183974,61.70
22.464238,114.184042,62.00
22.464290,114.184104,62.40
22.464339,114.184150,62.90
22.464386,114.184180,63.40
22.464427,114.184204,63.90
22.464461,114.184226,64.30
22.464490,114.184234,65.50
22.464523,114.184250,66.10
22.464555,114.184250,66.70
22.464584,114.184257,67.20
22.464610,114.184258,67.70
22.464636,114.184265,68.10
22.464666,114.184265,68.60
22.464692,114.184265,69.10
22.464719,114.184273,69.60
22.464748,114.184280,70.10
22.464774,114.184288,70.60
22.464797,114.184303,71.10
22.464820,114.184311,71.50
22.464839,114.184318,71.90
22.464862,114.184326,72.30
22.464887,114.184341,72.80
22.464908,114.184349,73.30
22.464927,114.184357,73.60
22.464952,114.184364,74.10
22.464979,114.184372,74.60
22.465007,114.184379,75.20
22.465032,114.184387,75.70
22.465055,114.184395,76.10
22.465081,114.184402,76.60
22.465108,114.184410,77.10
22.465131,114.184410,77.50
22.465156,114.184425,78.00
22.465177,114.184433,78.40
22.465194,114.184448,78.70
22.465217,114.184471,79.20
22.465236,114.184501,79.70
22.465255,114.184531,80.10
22.465275,114.184564,80.50
22.465304,114.184598,81.00
22.465341,114.184623,81.50
22.465375,114.184639,82.00
22.465409,114.184654,82.40
22.465440,114.184662,82.80
22.465469,114.184677,83.10
22.465499,114.184685,83.50
22.465536,114.184692,83.90
22.465572,114.184707,84.30
22.465606,114.184715,84.70
22.465640,114.184723,85.20
22.465680,114.184730,85.70
22.465716,114.184738,86.20
22.465753,114.184738,86.70
22.465787,114.184738,87.10
22.465823,114.184738,87.60
22.465858,114.184738,88.00
22.465889,114.184738,88.40
22.465921,114.184746,88.90
22.465951,114.184753,89.30
22.465982,114.184753,89.70
22.466010,114.184753,90.00
22.466044,114.184753,90.50
22.466081,114.184753,90.90
22.466115,114.184746,91.40
22.466146,114.184746,91.80
22.466178,114.184738,92.20
22.466216,114.184723,92.70
22.466249,114.184715,93.20
22.466283,114.184685,93.70
22.466309,114.184648,94.30
22.466329,114.184609,94.80
22.466342,114.184574,95.30
22.466356,114.184537,95.70
22.466375,114.184502,96.20
22.466396,114.184479,96.60
22.466421,114.184449,97.10
22.466449,114.184433,97.50
22.466478,114.184418,97.90
22.466508,114.184418,98.30
22.466541,114.184418,98.70
22.466571,114.184425,99.10
22.466600,114.184433,99.50
22.466630,114.184441,99.90
22.466662,114.184448,100.30
22.466699,114.184463,100.90
22.466735,114.184471,101.30
22.466771,114.184479,101.80
22.466806,114.184486,102.30
22.466842,114.184494,102.70
22.466878,114.184502,103.20
22.466907,114.184509,103.60
22.466934,114.184509,103.90
22.466968,114.184509,104.40
22.467000,114.184517,104.80
22.467035,114.184509,105.30
22.467065,114.184509,105.70
22.467095,114.184503,106.10
22.467132,114.184487,106.60
22.467168,114.184471,107.10
22.467203,114.184457,107.60
22.467250,114.184448,108.20
22.467290,114.184433,108.70
22.467332,114.184426,109.30
22.467368,114.184410,109.80
22.467404,114.184380,110.40
22.467439,114.184357,110.90
22.467469,114.184334,111.40
22.467498,114.184312,111.80
22.467519,114.184289,112.20
22.467542,114.184266,112.60
22.467569,114.184250,113.00
22.467595,114.184228,113.40
22.467620,114.184205,113.90
22.467641,114.184182,114.20
22.467660,114.184159,114.60
22.467680,114.184143,114.90
22.467702,114.184121,115.30
22.467725,114.184105,115.70
22.467746,114.184090,116.00
22.467769,114.184090,116.30
22.467796,114.184082,116.70
22.467826,114.184082,117.10
22.467855,114.184082,117.40
22.467885,114.184082,117.80
22.467918,114.184082,118.20
22.467945,114.184082,118.60
22.467969,114.184082,118.90
22.467994,114.184082,119.20
22.468019,114.184082,119.50
22.468045,114.184075,119.90
22.468070,114.184067,120.20
22.468095,114.184067,120.60
22.468122,114.184067,120.90
22.468147,114.184074,121.20
22.468173,114.184074,121.60
22.468198,114.184074,121.90
22.468221,114.184074,122.20
22.468244,114.184074,122.50
22.468271,114.184082,122.90
22.468301,114.184089,123.20
22.468333,114.184090,123.70
22.468363,114.184097,124.10
22.468392,114.184105,124.40
22.468422,114.184112,124.80
22.468455,114.184120,125.30
22.468486,114.184128,125.70
22.468515,114.184135,126.10
22.468543,114.184143,126.40
22.468572,114.184158,126.90
22.468601,114.184173,127.30
22.468631,114.184181,127.70
22.468664,114.184181,128.10
22.468688,114.184181,128.40
22.468717,114.184174,128.80
22.468736,114.184166,129.10
22.468761,114.184158,129.40
22.468784,114.184158,129.70
22.468816,114.184143,130.10
22.468848,114.184136,130.60
22.468875,114.184128,130.90
22.468910,114.184113,131.40
22.468943,114.184098,131.90
22.468969,114.184075,132.30
22.468990,114.184060,132.60
22.469015,114.184029,133.10
22.469041,114.184006,133.60
22.469065,114.183984,134.00
22.469094,114.183961,134.40
22.469121,114.183930,134.90
22.469148,114.183907,135.40
22.469178,114.183877,135.90
22.469205,114.183854,136.40
22.469232,114.183838,136.80
22.469260,114.183816,137.20
22.469291,114.183800,137.70
22.469318,114.183792,138.00
22.469350,114.183792,138.40
22.469385,114.183777,138.90
22.469415,114.183769,139.30
22.469442,114.183747,139.70
22.469467,114.183731,140.10
22.469488,114.183716,140.50
22.469510,114.183694,140.80
22.469544,114.183678,141.30
22.469577,114.183655,141.80
22.469611,114.183647,142.30
22.469644,114.183632,142.70
22.469672,114.183617,143.10
22.469697,114.183609,143.50
22.469725,114.183602,143.80
22.469751,114.183594,144.20
22.469773,114.183587,144.50
22.469800,114.183579,144.90
22.469825,114.183564,145.20
22.469846,114.183548,145.60
22.469867,114.183519,146.00
22.469888,114.183488,146.50
22.469905,114.183457,146.90
22.469924,114.183427,147.30
22.469940,114.183396,147.70
22.469955,114.183366,148.20
22.469967,114.183335,148.60
22.469978,114.183305,148.90
22.469990,114.183274,149.30
22.470006,114.183251,149.70
22.470022,114.183213,150.20
22.470037,114.183183,150.60
22.470052,114.183160,150.90
22.470066,114.183137,151.30
22.470081,114.183114,151.60
22.470096,114.183091,151.90
22.470117,114.183068,152.30
22.470136,114.183045,152.70
22.470157,114.183037,153.00
22.470184,114.183022,153.40
22.470208,114.183015,153.70
22.470241,114.182992,154.20
22.470258,114.182961,154.60
22.470270,114.182924,155.10
22.470278,114.182893,155.50
22.470287,114.182847,156.00
22.470300,114.182801,156.60
22.470316,114.182763,157.10
22.470340,114.182740,157.50
22.470367,114.182709,158.00
22.470399,114.182679,158.60
22.470426,114.182656,159.00
22.470448,114.182634,159.40
22.470468,114.182603,159.90
22.470474,114.182565,160.30
22.470478,114.182535,160.70
22.470480,114.182496,161.20
22.470482,114.182465,161.50
22.470482,114.182428,162.00
22.470486,114.182397,162.30
22.470495,114.182366,162.70
22.470510,114.182336,163.10
22.470525,114.182305,163.60
22.470548,114.182282,164.00
22.470577,114.182252,164.60
22.470607,114.182236,165.00
22.470638,114.182228,165.40
22.470672,114.182221,165.80
22.470704,114.182220,166.20
22.470736,114.182213,166.60
22.470766,114.182213,167.00
22.470795,114.182213,167.40
22.470826,114.182213,167.90
22.470857,114.182213,168.30
22.470889,114.182205,168.80
22.470920,114.182198,169.30
22.470948,114.182190,169.80
22.470973,114.182183,170.20
22.470998,114.182167,170.70
22.471021,114.182160,171.00
22.471046,114.182152,171.50
22.471067,114.182144,171.90
22.471092,114.182137,172.30
22.471120,114.182129,172.80
22.471145,114.182121,173.20
22.471174,114.182121,173.70
22.471204,114.182114,174.20
22.471230,114.182107,174.60
22.471262,114.182099,175.10
22.471290,114.182091,175.50
22.471318,114.182091,175.90
22.471352,114.182091,176.50
22.471383,114.182091,176.90
22.471415,114.182091,177.40
22.471444,114.182091,177.80
22.471473,114.182083,178.30
22.471503,114.182083,178.80
22.471532,114.182083,179.30
22.471557,114.182091,179.70
22.471581,114.182098,180.10
22.471606,114.182113,180.60
22.471631,114.182121,181.00
22.471649,114.182135,181.30
22.471670,114.182149,181.70
22.471691,114.182174,182.10
22.471713,114.182197,182.50
22.471740,114.182220,183.00
22.471768,114.182228,183.30
22.471803,114.182243,183.70
22.471835,114.182251,184.10
22.471873,114.182258,184.50
22.471909,114.182259,184.80
22.471944,114.182273,185.10
22.471978,114.182281,185.40
22.472006,114.182297,185.70
22.472032,114.182319,186.00
22.472059,114.182349,186.40
22.472084,114.182372,186.70
22.472115,114.182395,187.00
22.472148,114.182418,187.40
