lat,lng,ele
22.407316,114.105223,470.50
22.407243,114.105242,470.50
22.407167,114.105261,470.40
22.407094,114.105280,470.30
22.407017,114.105297,470.20
22.406937,114.105307,470.10
22.406863,114.105320,470.00
22.406791,114.105345,469.90
22.406715,114.105364,469.80
22.406640,114.105382,469.70
22.406566,114.105394,469.60
22.406490,114.105408,469.60
22.406415,114.105430,469.50
22.406344,114.105452,469.30
22.406267,114.105456,468.90
22.406192,114.105460,468.50
22.406109,114.105454,467.90
22.406030,114.105451,467.30
22.405943,114.105446,466.60
22.405864,114.105431,466.00
22.405784,114.105422,465.30
22.405713,114.105418,465.00
22.405636,114.105424,465.00
22.405566,114.105449,465.20
22.405500,114.105493,465.60
22.405451,114.105544,466.40
22.405417,114.105587,467.10
22.405399,114.105619,467.50
22.405385,114.105643,467.90
22.405373,114.105667,468.20
22.405363,114.105687,468.50
22.405351,114.105708,468.80
22.405339,114.105722,469.00
22.405325,114.105739,469.30
22.405314,114.105756,469.50
22.405305,114.105773,469.80
22.405297,114.105787,470.00
22.405288,114.105807,470.20
22.405277,114.105828,470.50
22.405271,114.105844,470.70
22.405259,114.105864,471.00
22.405252,114.105885,471.30
22.405243,114.105906,471.60
22.405236,114.105924,471.80
22.405226,114.105943,472.10
22.405213,114.105961,472.40
22.405200,114.105977,472.70
22.405196,114.105997,472.90
22.405189,114.106016,473.10
22.405183,114.106036,473.40
22.405174,114.106053,473.60
22.405169,114.106067,473.80
22.405167,114.106087,474.00
22.405161,114.106103,474.20
22.405157,114.106121,474.40
22.405146,114.106142,474.60
22.405130,114.106158,474.90
22.405115,114.106174,475.10
22.405100,114.106188,475.40
22.405091,114.106204,475.60
22.405088,114.106220,475.80
22.405078,114.106238,476.00
22.405066,114.106254,476.20
22.405054,114.106267,476.40
22.405039,114.106277,476.60
22.405024,114.106291,476.90
22.405010,114.106306,477.10
22.404998,114.106323,477.40
22.404992,114.106339,477.60
22.404983,114.106364,477.90
22.404971,114.106380,478.10
22.404960,114.106397,478.40
22.404954,114.106415,478.70
22.404944,114.106437,479.10
22.404932,114.106456,479.40
22.404920,114.106474,479.70
22.404907,114.106497,480.20
