lat,lng,ele
22.431511,114.104850,54.60
22.431510,114.104753,54.60
22.431503,114.104663,54.60
22.431469,114.104606,54.30
22.431411,114.104556,54.30
22.431338,114.104518,54.50
22.431272,114.104506,54.70
22.431204,114.104502,54.80
22.431137,114.104523,55.00
22.431077,114.104565,55.10
22.431016,114.104623,55.30
22.430957,114.104687,55.50
22.430894,114.104741,55.70
22.430841,114.104802,56.00
22.430791,114.104864,56.40
22.430748,114.104926,57.00
22.430708,114.104982,57.50
22.430668,114.105039,58.10
22.430631,114.105092,58.60
22.430597,114.105149,59.10
22.430564,114.105203,59.50
22.430525,114.105258,60.00
22.430489,114.105314,60.50
22.430453,114.105363,61.00
22.430420,114.105413,61.40
22.430389,114.105463,61.80
22.430355,114.105513,62.30
22.430319,114.105565,62.70
22.430285,114.105611,63.10
22.430252,114.105658,63.60
22.430218,114.105708,64.00
22.430184,114.105754,64.40
22.430148,114.105795,64.80
22.430116,114.105840,65.20
22.430083,114.105887,65.60
22.430046,114.105936,66.00
22.430019,114.105983,66.40
22.429985,114.106030,67.00
22.429951,114.106075,67.70
22.429914,114.106123,68.50
22.429877,114.106169,69.20
22.429842,114.106218,69.90
22.429806,114.106263,70.20
22.429773,114.106308,70.30
22.429738,114.106356,70.30
22.429702,114.106400,70.80
22.429671,114.106448,71.30
22.429638,114.106489,71.70
22.429608,114.106531,72.10
22.429575,114.106566,72.50
22.429541,114.106608,73.00
22.429506,114.106645,73.40
22.429468,114.106681,73.80
22.429428,114.106711,74.10
22.429385,114.106738,74.50
22.429337,114.106758,74.80
22.429287,114.106775,75.10
22.429238,114.106795,75.40
22.429190,114.106812,75.70
22.429132,114.106825,76.10
22.429077,114.106839,76.40
22.429022,114.106855,76.70
22.428969,114.106875,77.10
22.428925,114.106899,77.40
22.428878,114.106925,77.70
22.428832,114.106950,78.30
22.428792,114.106977,78.70
22.428753,114.107003,79.20
22.428709,114.107028,79.60
22.428672,114.107050,80.10
22.428630,114.107081,80.60
22.428588,114.107108,81.00
22.428544,114.107134,81.50
22.428503,114.107162,82.00
22.428461,114.107186,82.50
22.428415,114.107209,83.00
22.428372,114.107235,83.50
22.428331,114.107260,84.00
22.428289,114.107289,84.50
22.428255,114.107318,85.00
22.428216,114.107340,85.40
22.428189,114.107363,85.80
22.428167,114.107383,86.10
22.428145,114.107401,86.40
22.428123,114.107417,86.70
22.428100,114.107445,87.00
22.428070,114.107474,87.50
22.428042,114.107506,87.90
22.428012,114.107537,88.40
22.427984,114.107574,88.80
22.427957,114.107611,89.30
22.427933,114.107645,89.80
22.427907,114.107680,90.20
22.427884,114.107713,90.60
22.427857,114.107748,91.10
22.427830,114.107783,91.60
22.427805,114.107816,92.00
22.427778,114.107851,92.50
22.427753,114.107885,92.90
22.427728,114.107921,93.40
22.427702,114.107954,93.80
22.427673,114.107990,94.30
22.427644,114.108025,94.80
22.427614,114.108058,95.30
22.427587,114.108091,95.70
22.427558,114.108121,96.20
22.427532,114.108156,96.70
22.427503,114.108191,97.20
22.427480,114.108224,97.70
22.427453,114.108257,98.20
22.427429,114.108288,98.60
22.427399,114.108318,99.10
22.427375,114.108351,99.60
22.427351,114.108384,99.80
22.427328,114.108420,100.00
22.427300,114.108453,100.30
22.427278,114.108489,100.50
22.427252,114.108525,100.80
22.427226,114.108559,101.20
22.427199,114.108592,101.60
22.427172,114.108625,102.00
22.427145,114.108656,102.40
22.427118,114.108689,102.80
22.427090,114.108723,103.20
22.427062,114.108756,103.60
22.427036,114.108788,104.00
22.427010,114.108822,104.40
22.426980,114.108851,104.80
22.426949,114.108883,105.20
22.426921,114.108917,105.60
22.426889,114.108949,106.00
22.426857,114.108979,106.40
22.426824,114.109007,106.80
22.426784,114.109036,107.20
22.426744,114.109061,107.50
22.426698,114.109083,107.90
22.426652,114.109103,108.30
22.426600,114.109114,108.80
22.426547,114.109122,109.50
22.426493,114.109122,110.10
22.426441,114.109110,110.70
22.426388,114.109098,111.40
22.426339,114.109082,111.90
22.426288,114.109070,111.80
22.426238,114.109056,111.90
22.426187,114.109041,112.10
22.426139,114.109021,112.40
22.426085,114.108999,112.70
22.426035,114.108976,113.00
22.425984,114.108954,113.30
22.425935,114.108937,113.60
22.425887,114.108918,113.90
22.425832,114.108893,114.20
22.425783,114.108873,114.50
22.425735,114.108850,114.80
22.425688,114.108833,115.30
22.425638,114.108817,115.70
22.425587,114.108808,116.20
22.425540,114.108805,116.70
22.425487,114.108805,117.20
22.425438,114.108815,117.80
22.425390,114.108832,118.40
22.425346,114.108850,118.90
22.425306,114.108872,119.50
22.425275,114.108896,120.00
22.425246,114.108923,120.40
22.425221,114.108954,120.90
22.425199,114.108980,121.30
22.425182,114.109010,121.80
22.425171,114.109045,122.20
22.425160,114.109077,122.60
22.425151,114.109112,123.10
22.425147,114.109148,123.50
22.425149,114.109177,123.80
22.425149,114.109210,124.20
22.425153,114.109246,124.70
22.425158,114.109282,125.10
22.425161,114.109320,125.60
22.425164,114.109358,126.00
22.425169,114.109396,126.50
22.425172,114.109436,126.90
22.425175,114.109478,127.40
22.425176,114.109518,127.80
22.425179,114.109561,128.30
22.425187,114.109603,128.70
22.425191,114.109642,129.10
22.425197,114.109685,129.50
22.425200,114.109728,129.90
22.425203,114.109771,130.40
22.425206,114.109815,130.80
22.425210,114.109858,131.30
22.425218,114.109899,131.70
22.425220,114.109941,132.20
22.425222,114.109985,132.60
22.425220,114.110027,133.10
22.425213,114.110070,133.50
22.425199,114.110108,134.00
22.425180,114.110148,134.40
22.425159,114.110185,134.80
22.425136,114.110218,135.30
22.425106,114.110253,135.70
22.425079,114.110285,136.20
22.425046,114.110310,136.60
22.425012,114.110330,137.00
22.424978,114.110347,137.40
22.424940,114.110363,137.90
22.424899,114.110377,138.40
22.424858,114.110391,138.90
22.424817,114.110404,139.40
22.424776,114.110414,139.80
22.424736,114.110428,140.30
22.424694,114.110438,140.80
22.424656,114.110448,141.30
22.424616,114.110455,141.70
22.424577,114.110468,142.20
22.424541,114.110484,142.70
22.424508,114.110496,143.20
22.424470,114.110510,143.70
22.424436,114.110523,144.10
22.424398,114.110536,144.60
22.424365,114.110551,145.10
22.424327,114.110559,145.60
22.424290,114.110573,146.10
22.424251,114.110587,146.60
22.424221,114.110603,147.00
22.424188,114.110617,147.40
22.424150,114.110631,147.90
22.424114,114.110650,148.40
22.424077,114.110660,148.90
22.424042,114.110672,149.30
22.424009,114.110691,149.80
22.423974,114.110713,150.30
22.423938,114.110731,150.80
22.423903,114.110743,151.20
22.423879,114.110765,151.60
22.423852,114.110790,152.00
22.423829,114.110816,152.40
22.423811,114.110849,152.80
22.423794,114.110879,153.20
22.423781,114.110918,153.70
22.423770,114.110953,154.10
22.423762,114.110991,154.60
22.423755,114.111026,155.00
22.423753,114.111065,155.50
22.423754,114.111104,156.00
22.423758,114.111140,156.40
22.423765,114.111180,156.80
22.423776,114.111219,156.90
22.423791,114.111255,157.10
22.423803,114.111293,157.20
22.423817,114.111333,157.50
22.423832,114.111370,157.90
22.423847,114.111406,158.20
22.423860,114.111445,158.60
22.423875,114.111483,159.00
22.423893,114.111523,159.40
22.423911,114.111565,159.80
22.423926,114.111607,160.20
22.423943,114.111650,160.60
22.423960,114.111690,161.00
22.423977,114.111735,161.40
22.423996,114.111779,161.90
22.424012,114.111821,162.30
22.424030,114.111865,162.70
22.424046,114.111907,163.10
22.424055,114.111951,163.60
22.424060,114.111997,164.00
22.424061,114.112040,164.40
22.424058,114.112085,164.80
22.424055,114.112128,165.20
22.424049,114.112171,165.60
22.424039,114.112216,166.10
22.424027,114.112254,166.40
22.424007,114.112296,166.90
22.423982,114.112332,167.30
22.423957,114.112367,167.70
22.423929,114.112398,168.10
22.423896,114.112424,168.60
22.423863,114.112448,169.00
22.423828,114.112468,169.40
22.423789,114.112484,169.80
22.423748,114.112495,170.20
22.423710,114.112502,170.60
22.423672,114.112505,171.00
22.423630,114.112505,171.40
22.423589,114.112497,171.80
22.423549,114.112490,172.20
22.423511,114.112474,172.60
22.423470,114.112456,173.00
22.423427,114.112436,173.40
22.423386,114.112414,173.80
22.423346,114.112392,174.20
22.423306,114.112373,174.60
22.423264,114.112349,175.00
22.423226,114.112326,175.40
22.423187,114.112308,175.80
22.423150,114.112287,176.20
22.423112,114.112266,176.70
22.423080,114.112249,177.00
22.423043,114.112234,177.50
22.423008,114.112219,177.90
22.422971,114.112206,178.30
22.422935,114.112192,178.80
22.422897,114.112172,179.30
22.422863,114.112150,179.70
22.422827,114.112132,180.10
22.422794,114.112110,180.60
22.422758,114.112091,181.00
22.422723,114.112075,181.50
22.422689,114.112058,181.90
22.422657,114.112043,182.40
22.422622,114.112025,182.80
22.422586,114.112006,183.30
22.422548,114.111991,183.70
22.422509,114.111976,184.10
22.422472,114.111951,184.60
22.422437,114.111932,185.00
22.422397,114.111909,185.50
22.422358,114.111885,186.00
22.422319,114.111862,186.50
22.422281,114.111840,186.90
22.422245,114.111819,187.40
22.422206,114.111799,187.80
22.422169,114.111777,188.30
22.422131,114.111758,188.80
22.422097,114.111741,189.20
22.422061,114.111722,189.70
22.422023,114.111704,190.20
22.421982,114.111682,190.70
22.421944,114.111659,191.20
22.421910,114.111638,191.60
22.421868,114.111621,192.10
22.421831,114.111604,192.60
22.421795,114.111591,192.90
22.421759,114.111578,193.20
22.421726,114.111569,193.50
22.421686,114.111561,193.80
22.421643,114.111553,194.20
22.421603,114.111547,194.60
22.421559,114.111550,195.00
22.421516,114.111558,195.50
22.421483,114.111573,196.40
22.421459,114.111591,196.90
22.421436,114.111615,197.50
22.421415,114.111644,198.20
22.421405,114.111671,198.70
22.421399,114.111701,199.30
22.421398,114.111731,199.80
22.421401,114.111760,200.30
22.421406,114.111788,200.90
22.421417,114.111815,201.40
22.421430,114.111841,201.90
22.421443,114.111862,202.40
22.421457,114.111884,202.90
22.421474,114.111908,203.40
22.421490,114.111926,203.80
22.421501,114.111954,204.30
22.421512,114.111976,204.70
22.421532,114.112001,205.20
22.421550,114.112024,205.70
22.421571,114.112051,206.20
22.421590,114.112070,206.50
22.421609,114.112091,206.90
22.421629,114.112116,207.30
22.421652,114.112143,207.70
22.421674,114.112171,208.10
22.421700,114.112198,208.60
22.421718,114.112229,209.00
22.421734,114.112261,209.40
22.421750,114.112293,209.80
22.421756,114.112331,210.20
22.421764,114.112372,210.70
22.421771,114.112415,211.20
22.421772,114.112459,211.70
22.421769,114.112503,212.20
22.421767,114.112540,212.60
22.421754,114.112576,213.00
22.421735,114.112614,213.50
22.421716,114.112645,213.90
22.421688,114.112677,214.30
22.421662,114.112710,214.80
22.421633,114.112740,215.30
22.421598,114.112768,215.80
22.421561,114.112786,216.30
22.421527,114.112797,216.80
22.421485,114.112801,217.30
22.421449,114.112810,217.70
