lat,lng,ele
22.484483,114.058250,3.60
22.484570,114.058258,3.80
22.484655,114.058258,3.80
22.484741,114.058265,4.00
22.484826,114.058273,4.00
22.484912,114.058281,3.80
22.484998,114.058288,3.80
22.485081,114.058289,3.80
22.485166,114.058296,3.80
22.485252,114.058303,4.00
22.485339,114.058311,4.00
22.485426,114.058319,4.00
22.485512,114.058326,4.00
22.485597,114.058334,4.00
22.485683,114.058342,4.20
22.485766,114.058349,4.20
22.485852,114.058364,4.40
22.485936,114.058372,4.40
22.486022,114.058380,4.40
22.486109,114.058394,4.40
22.486200,114.058403,4.60
22.486285,114.058417,4.60
22.486372,114.058433,4.60
22.486461,114.058448,4.60
22.486549,114.058471,4.60
22.486637,114.058486,4.60
22.486725,114.058501,4.60
22.486808,114.058509,4.60
22.486896,114.058524,4.60
22.486979,114.058547,4.60
22.487064,114.058570,4.40
22.487151,114.058593,4.40
22.487238,114.058622,4.40
22.487332,114.058653,4.40
22.487420,114.058684,4.40
22.487508,114.058714,4.40
22.487599,114.058752,4.20
22.487690,114.058783,4.20
22.487783,114.058821,4.40
22.487875,114.058859,4.20
22.487964,114.058897,4.20
22.488054,114.058935,4.20
22.488149,114.058981,4.20
22.488235,114.059026,4.20
22.488326,114.059072,4.20
22.488413,114.059117,4.20
22.488503,114.059163,4.20
22.488586,114.059210,4.00
22.488670,114.059248,4.20
22.488754,114.059298,4.00
22.488839,114.059346,4.00
22.488921,114.059392,4.00
22.489001,114.059437,4.00
22.489086,114.059484,4.00
22.489169,114.059537,4.00
22.489253,114.059590,4.00
22.489338,114.059644,4.00
22.489423,114.059704,4.00
22.489502,114.059764,4.00
22.489578,114.059819,4.00
22.489660,114.059873,4.00
22.489751,114.059941,4.20
22.489839,114.060002,4.00
22.489926,114.060063,4.00
22.490009,114.060124,3.80
22.490088,114.060178,3.60
22.490169,114.060231,3.60
22.490255,114.060292,3.40
22.490335,114.060345,3.20
22.490419,114.060407,3.00
22.490509,114.060475,3.00
22.490596,114.060536,2.80
22.490682,114.060605,2.80
22.490765,114.060665,2.80
22.490850,114.060727,2.80
22.490934,114.060788,2.60
22.491019,114.060856,2.60
22.491102,114.060910,2.40
22.491187,114.060971,2.40
22.491272,114.061025,2.40
22.491357,114.061078,2.40
22.491442,114.061131,2.60
22.491529,114.061200,2.60
22.491584,114.061283,2.40
22.491563,114.061388,2.40
22.491523,114.061478,2.40
22.491477,114.061571,2.40
22.491424,114.061656,2.40
22.491370,114.061733,2.60
22.491319,114.061802,2.60
22.491268,114.061849,2.80
22.491221,114.061903,3.00
22.491135,114.061934,3.00
22.491060,114.061979,3.20
22.490991,114.061988,3.20
22.490915,114.062003,3.20
22.490837,114.062011,3.40
22.490760,114.062005,3.40
22.490672,114.061997,3.40
22.490591,114.061983,3.40
22.490507,114.061952,3.40
22.490433,114.061915,3.40
22.490362,114.061862,3.40
22.490291,114.061808,3.40
22.490225,114.061748,3.40
22.490160,114.061680,3.40
22.490104,114.061611,3.40
22.490050,114.061542,3.40
22.490002,114.061466,3.40
22.489955,114.061399,3.20
22.489903,114.061320,3.20
22.489852,114.061245,3.20
22.489803,114.061155,3.20
22.489760,114.061081,3.00
22.489715,114.061007,3.00
22.489656,114.060917,3.00
22.489605,114.060833,3.00
22.489551,114.060757,3.00
22.489495,114.060688,2.80
22.489440,114.060612,3.00
22.489377,114.060542,2.80
22.489316,114.060459,2.80
22.489259,114.060376,2.80
22.489200,114.060299,2.60
22.489141,114.060230,2.60
22.489076,114.060161,2.60
22.489004,114.060092,2.60
22.488926,114.060024,2.60
22.488843,114.059963,2.60
22.488758,114.059903,2.40
22.488666,114.059849,2.40
22.488573,114.059795,2.40
22.488485,114.059749,2.40
22.488398,114.059703,2.60
22.488309,114.059657,2.60
22.488217,114.059618,2.60
22.488128,114.059573,2.60
22.488022,114.059512,2.60
22.487927,114.059481,2.60
22.487828,114.059451,2.60
22.487726,114.059383,2.60
22.487635,114.059351,2.60
22.487543,114.059306,2.60
22.487453,114.059274,2.60
22.487365,114.059244,2.80
22.487270,114.059192,2.80
22.487175,114.059153,3.00
22.487082,114.059122,3.20
22.486982,114.059091,3.00
22.486886,114.059054,3.00
22.486794,114.059024,3.00
22.486698,114.058992,3.00
22.486602,114.058969,3.00
22.486505,114.058946,3.00
22.486406,114.058923,3.20
22.486307,114.058907,3.20
22.486208,114.058892,3.20
22.486106,114.058884,3.20
22.486004,114.058869,3.20
22.485900,114.058854,3.20
22.485794,114.058839,3.20
22.485694,114.058831,3.20
22.485585,114.058816,3.20
22.485476,114.058815,3.20
22.485365,114.058808,3.20
22.485263,114.058814,3.40
22.485154,114.058808,3.40
22.485053,114.058800,3.40
22.484952,114.058793,3.60
22.484849,114.058792,3.80
22.484749,114.058785,3.80
22.484644,114.058784,3.80
22.484536,114.058770,4.00
22.484431,114.058769,4.20
22.484332,114.058769,4.00
22.484215,114.058762,4.00
22.484109,114.058754,3.80
22.484003,114.058739,3.80
22.483898,114.058739,3.80
22.483792,114.058724,3.80
22.483686,114.058723,3.60
22.483582,114.058716,3.60
22.483483,114.058716,3.60
22.483377,114.058709,3.40
22.483273,114.058701,3.40
22.483169,114.058701,3.40
22.483067,114.058701,3.40
22.482966,114.058694,3.40
22.482864,114.058679,3.40
22.482761,114.058671,3.40
22.482658,114.058670,3.40
22.482549,114.058649,3.40
22.482440,114.058633,3.40
22.482329,114.058625,3.40
22.482222,114.058617,3.40
22.482117,114.058617,3.40
22.482002,114.058602,3.40
22.481890,114.058594,3.40
22.481779,114.058594,3.40
22.481665,114.058594,3.40
22.481554,114.058586,3.40
22.481451,114.058579,3.40
22.481344,114.058564,3.40
22.481236,114.058549,3.20
22.481123,114.058548,3.20
22.481008,114.058541,3.00
22.480901,114.058540,3.20
22.480788,114.058540,3.20
22.480673,114.058533,3.20
22.480560,114.058525,3.20
22.480447,114.058511,3.00
22.480337,114.058495,3.00
22.480228,114.058495,3.00
22.480126,114.058487,3.00
22.480026,114.058473,3.00
22.479929,114.058465,3.20
22.479836,114.058457,3.20
22.479743,114.058449,3.40
22.479655,114.058442,3.40
22.479563,114.058434,3.60
22.479474,114.058419,3.60
22.479385,114.058404,3.80
22.479296,114.058388,3.80
22.479206,114.058373,4.00
22.479110,114.058365,4.20
22.479016,114.058350,4.40
22.478896,114.058342,4.40
22.478785,114.058320,4.40
22.478690,114.058305,4.40
22.478600,114.058289,4.40
22.478509,114.058267,4.40
22.478422,114.058244,4.60
22.478332,114.058221,4.40
22.478242,114.058206,4.40
22.478156,114.058184,4.40
22.478060,114.058153,4.20
22.477969,114.058137,4.20
22.477875,114.058107,4.20
22.477778,114.058084,4.20
22.477689,114.058054,4.00
22.477594,114.058023,4.00
22.477494,114.058000,4.00
22.477397,114.057963,3.80
22.477298,114.057924,3.60
22.477204,114.057893,3.60
22.477110,114.057856,3.60
22.477017,114.057811,3.40
22.476923,114.057779,3.40
22.476830,114.057748,3.40
22.476737,114.057711,3.20
22.476647,114.057658,3.20
22.476562,114.057612,3.00
22.476478,114.057574,3.00
22.476396,114.057543,2.80
22.476322,114.057526,2.80
22.476260,114.057555,2.60
22.476225,114.057614,2.60
22.476218,114.057690,2.40
22.476224,114.057758,2.40
22.476227,114.057827,2.20
22.476210,114.057896,2.20
22.476181,114.057970,2.00
22.476146,114.058041,2.00
22.476116,114.058110,2.00
22.476088,114.058177,2.00
22.476053,114.058247,2.00
22.476019,114.058309,2.00
22.475983,114.058376,2.00
22.475941,114.058437,2.00
22.475907,114.058498,2.00
22.475877,114.058560,2.20
22.475845,114.058621,2.20
22.475814,114.058687,2.20
22.475780,114.058758,2.40
22.475746,114.058827,2.40
22.475710,114.058888,2.40
22.475677,114.058957,2.40
22.475643,114.059017,2.40
22.475612,114.059079,2.40
22.475585,114.059147,2.60
22.475557,114.059216,2.60
22.475529,114.059277,2.60
22.475500,114.059345,2.80
22.475468,114.059405,2.80
22.475435,114.059475,3.00
22.475403,114.059536,3.00
22.475366,114.059605,3.00
22.475332,114.059674,3.00
22.475296,114.059735,3.00
22.475263,114.059796,3.20
22.475229,114.059857,3.20
22.475195,114.059917,3.20
22.475160,114.059972,3.20
22.475124,114.060033,3.40
22.475093,114.060092,3.40
22.475060,114.060154,3.60
22.475027,114.060208,3.80
22.474996,114.060262,3.80
22.474969,114.060315,4.00
22.474946,114.060369,4.20
22.474926,114.060421,4.60
22.474910,114.060476,4.80
22.474896,114.060521,5.00
22.474879,114.060574,5.20
22.474864,114.060620,5.40
22.474847,114.060674,5.60
22.474829,114.060720,5.80
22.474805,114.060766,6.00
22.474772,114.060804,6.20
22.474728,114.060835,6.20
22.474682,114.060859,6.40
22.474636,114.060867,6.60
22.474587,114.060867,6.80
22.474540,114.060867,7.00
22.474492,114.060875,7.20
22.474447,114.060875,7.40
22.474405,114.060875,7.60
22.474360,114.060875,7.80
