lat,lng,ele
22.231690,113.892244,74.80
22.231740,113.892261,74.80
22.232103,113.892385,74.60
22.232224,113.892426,74.80
22.232463,113.892481,76.00
22.232628,113.892496,77.00
22.232732,113.892551,78.20
22.232802,113.892535,79.20
22.232910,113.892519,80.20
22.233011,113.892537,81.20
22.233126,113.892509,82.40
22.233147,113.892495,82.60
22.233179,113.892472,83.40
22.233208,113.892453,84.40
22.233267,113.892427,85.60
22.233351,113.892397,86.40
22.233370,113.892394,86.60
22.233444,113.892364,87.80
22.233520,113.892313,89.00
22.233592,113.892288,90.00
22.233678,113.892258,91.20
22.233791,113.892231,92.20
22.233890,113.892226,93.60
22.234040,113.892258,94.60
22.234183,113.892265,95.80
22.234316,113.892303,96.80
22.234417,113.892341,98.20
22.234501,113.892341,99.20
22.234575,113.892378,100.40
22.234678,113.892419,101.40
22.234756,113.892436,102.80
22.234832,113.892459,103.80
22.234906,113.892487,105.00
22.235000,113.892550,106.20
22.235106,113.892588,107.20
22.235124,113.892592,107.60
22.235180,113.892628,108.40
22.235248,113.892658,109.60
22.235370,113.892682,110.80
22.235458,113.892723,111.80
22.235525,113.892732,113.00
22.235596,113.892756,114.20
22.235677,113.892763,115.20
22.235754,113.892760,116.40
22.235849,113.892757,117.40
22.235929,113.892762,118.60
22.236013,113.892773,119.60
22.236089,113.892774,120.80
22.236169,113.892777,122.00
22.236272,113.892779,123.20
22.236443,113.892828,124.20
22.236470,113.892824,124.40
22.236627,113.892822,125.40
22.236801,113.892855,126.40
22.236923,113.892864,127.40
22.237008,113.892868,128.60
22.237093,113.892877,129.60
22.237159,113.892872,130.80
22.237222,113.892882,131.80
22.237288,113.892908,133.00
22.237384,113.892938,134.20
22.237405,113.892945,134.60
22.237448,113.892955,135.00
22.237476,113.892971,135.60
22.237538,113.892986,136.60
22.237613,113.893021,137.80
22.237695,113.893075,139.00
22.237778,113.893113,140.20
22.237845,113.893167,141.20
22.237929,113.893260,142.60
22.238012,113.893285,143.60
22.238103,113.893366,144.80
22.238179,113.893373,146.00
22.238282,113.893344,147.20
22.238377,113.893338,148.20
22.238509,113.893322,149.40
22.238647,113.893305,150.40
22.238801,113.893312,151.60
22.238887,113.893331,152.60
22.238947,113.893363,153.60
22.239002,113.893423,154.80
22.239015,113.893444,155.20
22.239103,113.893538,156.00
22.239201,113.893638,157.00
22.239291,113.893727,158.00
22.239332,113.893807,159.20
22.239397,113.893882,160.20
22.239463,113.893950,161.60
22.239535,113.893996,162.80
22.239638,113.894032,164.00
22.239708,113.894086,165.40
22.239781,113.894201,166.40
22.239855,113.894320,167.60
22.239916,113.894380,168.80
22.239988,113.894433,170.20
22.240051,113.894466,171.60
22.240107,113.894451,173.00
22.240154,113.894395,174.20
22.240217,113.894329,175.20
22.240299,113.894251,176.40
22.240364,113.894190,177.60
22.240415,113.894136,178.80
22.240461,113.894076,180.20
22.240488,113.894021,181.20
22.240511,113.893933,182.40
22.240539,113.893874,183.60
22.240578,113.893811,184.60
22.240603,113.893726,186.00
22.240645,113.893639,187.00
22.240665,113.893624,187.00
22.240677,113.893605,187.20
22.240710,113.893556,188.20
22.240819,113.893503,189.40
22.240885,113.893483,190.40
22.240964,113.893443,191.60
22.240983,113.893429,191.80
22.241045,113.893398,192.60
22.241126,113.893369,193.80
22.241205,113.893332,195.00
22.241292,113.893270,196.20
22.241357,113.893225,197.40
22.241433,113.893180,198.40
22.241454,113.893183,198.60
22.241549,113.893210,199.80
22.241646,113.893226,201.00
22.241725,113.893280,202.20
22.241785,113.893337,203.40
22.241876,113.893406,204.60
22.241953,113.893420,205.80
22.241991,113.893412,207.00
22.242025,113.893395,208.20
22.242109,113.893363,209.40
22.242171,113.893308,210.60
22.242252,113.893250,211.60
22.242322,113.893197,213.00
22.242405,113.893129,214.20
22.242478,113.893066,215.40
22.242527,113.893011,216.60
22.242578,113.892947,217.80
22.242631,113.892884,219.20
22.242688,113.892814,220.20
22.242740,113.892719,221.40
22.242782,113.892661,222.60
22.242824,113.892617,223.80
22.242874,113.892516,224.80
22.242958,113.892439,226.20
22.243055,113.892421,227.40
22.243149,113.892440,228.40
22.243234,113.892465,229.40
22.243323,113.892476,230.60
22.243431,113.892450,231.60
22.243511,113.892411,233.00
22.243588,113.892377,234.00
22.243637,113.892332,235.40
22.243688,113.892293,236.60
22.243769,113.892233,237.80
22.243842,113.892176,239.00
22.243919,113.892124,240.40
22.244012,113.892053,241.40
22.244081,113.891998,242.60
22.244166,113.891955,243.80
22.244251,113.891905,245.00
22.244323,113.891871,246.00
22.244387,113.891855,247.20
22.244465,113.891847,248.40
