lat,lng,ele
22.448532,114.157569,22.00
22.448491,114.157544,22.00
22.448450,114.157513,22.00
22.448406,114.157485,22.00
22.448367,114.157444,22.00
22.448346,114.157387,22.00
22.448335,114.157319,22.00
22.448310,114.157240,21.80
22.448278,114.157171,21.60
22.448248,114.157102,21.60
22.448218,114.157033,21.80
22.448188,114.156964,21.80
22.448160,114.156895,21.80
22.448132,114.156836,21.80
22.448107,114.156783,22.00
22.448070,114.156729,22.20
22.448040,114.156673,22.20
22.448005,114.156613,22.60
22.447979,114.156553,22.80
22.447946,114.156496,23.20
22.447916,114.156458,23.40
22.447885,114.156413,23.80
22.447847,114.156357,24.00
22.447820,114.156316,24.40
22.447797,114.156276,24.80
22.447778,114.156250,25.20
22.447756,114.156218,25.60
22.447736,114.156182,26.00
22.447714,114.156141,27.00
22.447700,114.156114,27.40
22.447682,114.156074,28.20
22.447667,114.156045,28.60
22.447652,114.156020,29.00
22.447636,114.155989,29.40
22.447621,114.155955,30.00
22.447609,114.155916,30.80
22.447595,114.155881,31.00
22.447578,114.155848,31.80
22.447552,114.155814,32.20
22.447533,114.155788,33.00
22.447517,114.155762,33.20
22.447510,114.155736,33.60
22.447497,114.155712,34.20
22.447483,114.155688,34.60
22.447471,114.155667,35.40
22.447462,114.155647,35.60
22.447450,114.155624,36.20
22.447445,114.155602,36.40
22.447440,114.155581,37.20
22.447438,114.155554,37.40
22.447430,114.155523,38.40
22.447419,114.155496,38.80
22.447408,114.155468,39.20
22.447397,114.155447,39.80
22.447388,114.155423,40.20
22.447375,114.155400,40.80
22.447367,114.155372,41.20
22.447366,114.155347,42.00
22.447359,114.155322,42.40
22.447348,114.155294,43.00
22.447334,114.155268,43.60
22.447323,114.155243,44.00
22.447314,114.155215,44.60
22.447302,114.155192,45.20
22.447289,114.155170,45.80
22.447276,114.155147,46.20
22.447262,114.155126,47.00
22.447248,114.155109,47.40
22.447232,114.155096,48.00
22.447213,114.155085,48.60
22.447194,114.155082,49.00
22.447181,114.155085,49.80
22.447170,114.155076,50.20
22.447152,114.155080,50.60
22.447126,114.155085,51.00
22.447093,114.155100,51.60
22.447059,114.155115,52.00
22.447028,114.155122,52.80
22.446999,114.155125,53.20
22.446969,114.155120,53.20
22.446949,114.155107,53.60
22.446932,114.155093,54.00
22.446912,114.155072,54.40
22.446894,114.155048,54.40
22.446879,114.155026,55.20
22.446871,114.155010,55.60
22.446869,114.155004,56.40
22.446864,114.154996,57.00
22.446852,114.154978,57.20
22.446849,114.154955,58.00
22.446851,114.154935,58.40
22.446850,114.154915,59.00
22.446855,114.154894,59.40
22.446849,114.154868,59.80
22.446841,114.154848,60.40
22.446832,114.154813,61.00
22.446826,114.154776,61.40
22.446814,114.154756,62.00
22.446815,114.154755,62.60
22.446815,114.154755,62.80
22.446806,114.154733,63.40
22.446812,114.154693,63.60
22.446811,114.154651,64.00
22.446802,114.154614,64.00
22.446794,114.154581,64.40
22.446791,114.154529,64.80
22.446781,114.154482,65.60
22.446756,114.154442,66.00
22.446728,114.154414,66.20
22.446693,114.154385,66.60
22.446653,114.154359,67.00
22.446625,114.154321,67.40
22.446601,114.154283,67.40
22.446578,114.154260,68.20
22.446559,114.154243,68.60
22.446539,114.154214,69.20
22.446533,114.154189,69.80
22.446511,114.154164,70.00
22.446485,114.154136,70.40
22.446472,114.154106,70.60
22.446455,114.154075,71.00
22.446437,114.154039,71.20
22.446435,114.154010,71.80
22.446432,114.153975,72.00
22.446439,114.153934,72.40
22.446433,114.153885,72.80
22.446441,114.153832,73.00
22.446447,114.153776,73.00
22.446463,114.153727,73.40
22.446473,114.153679,73.80
22.446484,114.153633,74.00
22.446494,114.153588,74.20
22.446519,114.153564,74.20
22.446554,114.153536,74.80
22.446574,114.153515,75.00
22.446600,114.153489,75.20
22.446627,114.153463,76.00
