lat,lng,ele
22.528804,114.178256,52.60
22.528827,114.178237,53.60
22.528850,114.178222,54.40
22.528878,114.178203,55.40
22.528909,114.178180,56.20
22.528943,114.178157,57.00
22.528972,114.178138,57.80
22.528995,114.178123,58.60
22.529015,114.178108,59.20
22.529034,114.178093,60.00
22.529054,114.178073,60.80
22.529074,114.178054,61.40
22.529090,114.178039,62.00
22.529105,114.178024,62.60
22.529120,114.178013,63.40
22.529137,114.178001,64.00
22.529157,114.177986,64.60
22.529176,114.177970,65.20
22.529197,114.177955,65.80
22.529217,114.177940,66.20
22.529237,114.177921,66.80
22.529256,114.177906,67.40
22.529276,114.177894,68.00
22.529298,114.177883,68.40
22.529320,114.177875,69.00
22.529345,114.177872,69.40
22.529370,114.177872,69.80
22.529389,114.177876,70.40
22.529403,114.177888,70.80
22.529417,114.177907,71.20
22.529427,114.177925,71.80
22.529431,114.177944,72.20
22.529431,114.177967,72.80
22.529432,114.177990,73.20
22.529434,114.178013,73.80
22.529434,114.178036,74.20
22.529433,114.178059,74.80
22.529431,114.178078,75.40
22.529426,114.178097,75.80
22.529418,114.178116,76.40
22.529412,114.178136,77.00
22.529410,114.178154,77.60
22.529408,114.178165,78.20
22.529404,114.178177,78.80
22.529400,114.178192,79.40
22.529394,114.178216,80.20
22.529388,114.178242,80.80
22.529384,114.178265,81.40
22.529377,114.178288,82.20
22.529370,114.178311,82.80
22.529362,114.178333,83.40
22.529351,114.178360,84.20
22.529341,114.178387,84.80
22.529332,114.178414,85.40
22.529323,114.178441,86.00
22.529319,114.178460,86.60
22.529319,114.178479,87.20
22.529318,114.178502,87.80
22.529315,114.178525,88.40
22.529314,114.178551,89.20
22.529315,114.178582,89.60
22.529319,114.178605,90.20
22.529323,114.178624,90.80
22.529328,114.178647,91.20
22.529337,114.178674,91.80
22.529349,114.178704,92.20
22.529360,114.178730,92.80
22.529373,114.178753,93.20
22.529393,114.178772,93.80
22.529417,114.178788,94.20
22.529440,114.178803,94.80
22.529463,114.178814,95.20
22.529487,114.178830,95.80
22.529509,114.178852,96.40
22.529530,114.178868,96.80
22.529556,114.178879,97.40
22.529583,114.178890,97.80
22.529609,114.178898,98.40
22.529635,114.178914,98.80
22.529660,114.178937,99.20
22.529685,114.178964,99.60
22.529711,114.178994,100.00
22.529735,114.179021,100.20
22.529760,114.179047,100.60
22.529784,114.179074,101.00
22.529809,114.179097,101.40
22.529834,114.179120,101.80
22.529859,114.179143,102.20
22.529885,114.179166,102.60
22.529912,114.179188,103.00
22.529938,114.179211,103.40
22.529960,114.179230,103.80
22.529980,114.179245,104.20
22.530002,114.179265,104.60
22.530027,114.179287,105.00
22.530053,114.179310,105.40
22.530081,114.179333,105.80
22.530105,114.179360,106.20
22.530127,114.179391,106.40
22.530149,114.179417,106.80
22.530169,114.179440,107.20
22.530188,114.179463,107.60
22.530206,114.179486,108.00
