lat,lng,ele
22.386320,114.186760,12.50
22.386321,114.186761,12.50
22.386323,114.186762,12.50
22.386324,114.186762,12.60
22.386326,114.186763,12.60
22.386327,114.186764,12.60
22.386338,114.186764,12.90
22.386339,114.186769,13.00
22.386341,114.186773,13.00
22.386342,114.186778,13.10
22.386344,114.186782,13.20
22.386345,114.186787,13.30
22.386347,114.186791,13.40
22.386348,114.186796,13.50
22.386354,114.186803,13.70
22.386354,114.186803,13.70
22.386354,114.186803,13.70
22.386354,114.186803,13.70
22.386354,114.186803,13.70
22.386348,114.186805,13.90
22.386348,114.186805,13.90
22.386348,114.186805,13.90
22.386336,114.186799,14.20
22.386330,114.186796,14.30
22.386329,114.186797,14.30
22.386324,114.186748,15.40
22.386316,114.186730,15.80
22.386308,114.186718,16.10
22.386305,114.186705,16.30
22.386307,114.186705,16.40
22.386310,114.186706,16.50
22.386312,114.186707,16.50
22.386315,114.186707,16.60
22.386317,114.186708,16.60
22.386320,114.186709,16.70
22.386322,114.186709,16.80
22.386325,114.186710,16.80
22.386327,114.186710,16.90
22.386330,114.186711,17.00
22.386332,114.186712,17.00
22.386335,114.186712,17.10
22.386337,114.186713,17.10
22.386340,114.186714,17.20
22.386342,114.186714,17.20
22.386345,114.186715,17.30
22.386351,114.186707,17.50
22.386362,114.186691,18.00
22.386372,114.186673,18.40
22.386385,114.186660,18.80
22.386389,114.186648,19.10
22.386394,114.186637,19.40
22.386400,114.186627,19.60
22.386407,114.186620,19.90
22.386418,114.186612,20.20
22.386424,114.186606,20.40
22.386429,114.186592,20.70
22.386431,114.186575,21.30
22.386431,114.186561,21.50
22.386429,114.186550,21.60
22.386428,114.186542,21.70
22.386428,114.186534,21.80
22.386424,114.186527,21.90
22.386421,114.186522,22.00
22.386421,114.186522,22.00
22.386417,114.186516,22.10
22.386417,114.186514,22.10
22.386421,114.186514,22.10
22.386423,114.186516,22.20
22.386426,114.186519,22.20
22.386429,114.186522,22.30
22.386431,114.186524,22.30
22.386434,114.186527,22.40
22.386436,114.186529,22.40
22.386439,114.186532,22.50
22.386442,114.186535,22.50
22.386444,114.186537,22.60
22.386447,114.186540,22.60
22.386447,114.186543,22.70
22.386444,114.186545,22.70
22.386444,114.186545,22.70
22.386445,114.186549,22.80
22.386443,114.186553,22.80
22.386443,114.186556,22.90
22.386443,114.186560,22.90
22.386441,114.186565,23.00
22.386441,114.186565,23.00
22.386440,114.186571,23.10
22.386452,114.186569,23.30
22.386459,114.186567,23.40
22.386466,114.186566,23.60
22.386473,114.186564,23.70
22.386480,114.186562,23.80
22.386486,114.186560,23.90
22.386490,114.186558,24.00
22.386491,114.186553,24.10
22.386494,114.186550,24.20
22.386490,114.186543,24.30
22.386483,114.186530,24.60
22.386469,114.186499,25.20
22.386465,114.186489,25.40
22.386460,114.186478,25.70
22.386454,114.186472,25.80
22.386444,114.186467,26.10
22.386435,114.186461,26.30
22.386429,114.186457,26.50
22.386427,114.186454,26.50
22.386427,114.186446,26.70
22.386425,114.186437,26.90
22.386423,114.186428,27.00
22.386420,114.186414,27.30
22.386421,114.186408,27.50
22.386414,114.186400,27.70
22.386410,114.186391,27.90
22.386408,114.186380,28.10
22.386412,114.186369,28.30
22.386418,114.186362,28.50
22.386427,114.186356,28.70
22.386435,114.186342,29.10
22.386440,114.186323,29.50
22.386442,114.186305,29.80
22.386442,114.186292,30.10
22.386439,114.186280,30.30
22.386436,114.186270,30.50
22.386435,114.186263,30.70
22.386436,114.186255,30.80
22.386441,114.186247,31.00
22.386449,114.186238,31.30
22.386453,114.186226,31.50
22.386454,114.186218,31.70
22.386454,114.186211,31.90
22.386452,114.186199,32.10
22.386453,114.186188,32.30
22.386453,114.186178,32.60
22.386450,114.186169,32.80
22.386442,114.186159,33.10
22.386431,114.186145,33.50
22.386422,114.186129,33.90
22.386422,114.186114,34.20
22.386423,114.186097,34.60
22.386428,114.186080,35.00
22.386430,114.186064,35.40
22.386432,114.186047,35.70
22.386434,114.186032,36.10
22.386435,114.186017,36.40
22.386436,114.186000,36.80
22.386435,114.185992,36.90
22.386435,114.185984,37.10
22.386434,114.185976,37.30
22.386435,114.185960,37.60
22.386436,114.185946,37.90
22.386441,114.185940,38.10
22.386451,114.185938,38.30
22.386459,114.185929,38.50
22.386465,114.185916,38.80
22.386467,114.185906,39.00
22.386469,114.185902,39.10
22.386472,114.185898,39.20
22.386478,114.185889,39.40
22.386487,114.185885,39.70
22.386496,114.185883,39.80
22.386515,114.185880,40.30
22.386524,114.185876,40.50
22.386533,114.185871,40.70
22.386542,114.185862,41.00
22.386552,114.185855,41.30
22.386557,114.185849,41.40
22.386563,114.185840,41.70
22.386568,114.185829,41.90
22.386572,114.185815,42.30
22.386569,114.185797,42.70
22.386566,114.185790,42.80
22.386562,114.185782,43.00
22.386559,114.185775,43.20
22.386549,114.185746,43.90
22.386546,114.185735,44.20
22.386547,114.185703,44.80
22.386551,114.185693,45.10
22.386569,114.185679,45.50
22.386577,114.185679,45.70
22.386585,114.185679,45.90
22.386612,114.185688,46.40
22.386620,114.185692,46.50
22.386633,114.185695,46.80
22.386641,114.185696,46.90
22.386649,114.185696,47.00
22.386670,114.185703,47.40
22.386680,114.185707,47.50
22.386690,114.185710,47.70
22.386703,114.185714,47.80
22.386713,114.185715,48.00
22.386719,114.185722,48.10
22.386725,114.185730,48.20
22.386730,114.185733,48.30
22.386736,114.185740,48.40
22.386743,114.185736,48.50
22.386752,114.185732,48.70
22.386773,114.185731,49.00
22.386780,114.185737,49.10
22.386788,114.185742,49.20
22.386801,114.185753,49.50
22.386818,114.185766,49.80
22.386831,114.185778,50.00
22.386842,114.185782,50.20
22.386853,114.185776,50.40
22.386857,114.185758,50.70
22.386874,114.185739,51.10
22.386883,114.185734,51.30
22.386892,114.185728,51.40
22.386910,114.185718,51.80
22.386922,114.185715,52.00
22.386934,114.185715,52.20
22.386943,114.185714,52.30
22.386954,114.185712,52.50
22.386963,114.185714,52.70
22.386967,114.185718,52.80
22.386976,114.185712,53.00
22.386988,114.185705,53.20
22.387008,114.185708,53.60
22.387018,114.185714,53.80
22.387027,114.185719,54.00
22.387043,114.185729,54.40
22.387058,114.185737,54.70
22.387071,114.185743,55.00
22.387080,114.185749,55.20
22.387086,114.185753,55.40
22.387101,114.185743,55.80
22.387109,114.185737,56.00
22.387117,114.185730,56.20
22.387131,114.185720,56.60
22.387144,114.185709,56.90
22.387155,114.185700,57.20
22.387168,114.185691,57.60
22.387178,114.185687,57.90
22.387185,114.185683,58.00
22.387196,114.185680,58.30
22.387207,114.185670,58.60
22.387214,114.185658,58.90
22.387226,114.185648,59.30
22.387237,114.185636,59.70
22.387245,114.185629,59.90
22.387254,114.185624,60.10
22.387263,114.185617,60.40
22.387271,114.185615,60.50
22.387283,114.185616,60.80
22.387296,114.185617,61.10
22.387317,114.185611,61.60
22.387326,114.185606,61.80
22.387334,114.185602,62.00
22.387349,114.185597,62.40
22.387369,114.185596,62.80
22.387387,114.185589,63.20
22.387403,114.185582,63.60
22.387417,114.185571,64.10
22.387427,114.185564,64.40
22.387438,114.185552,64.80
22.387451,114.185542,65.30
22.387456,114.185528,65.70
22.387457,114.185511,66.10
22.387460,114.185508,66.30
22.387456,114.185508,66.40
22.387451,114.185507,66.50
22.387448,114.185508,66.60
22.387451,114.185499,66.90
22.387459,114.185485,67.40
22.387464,114.185473,67.80
22.387467,114.185453,68.40
22.387468,114.185443,68.70
22.387468,114.185433,69.00
22.387467,114.185416,69.50
22.387469,114.185409,69.70
22.387470,114.185401,70.00
22.387471,114.185393,70.20
22.387477,114.185379,70.70
22.387486,114.185365,71.20
22.387504,114.185337,72.20
22.387509,114.185327,72.50
22.387526,114.185302,73.40
22.387530,114.185296,73.60
22.387552,114.185282,74.50
22.387561,114.185275,74.80
22.387571,114.185267,80.70
22.387589,114.185238,81.20
22.387594,114.185228,81.30
22.387596,114.185212,81.50
22.387600,114.185198,81.70
22.387603,114.185180,81.90
22.387606,114.185164,82.10
22.387603,114.185151,82.30
22.387602,114.185141,82.40
22.387596,114.185135,82.50
22.387590,114.185125,82.60
22.387585,114.185117,82.70
22.387582,114.185113,82.80
22.387576,114.185115,82.90
22.387575,114.185116,82.90
22.387575,114.185115,82.90
22.387576,114.185111,83.00
22.387580,114.185108,83.00
22.387583,114.185111,83.10
22.387588,114.185119,83.20
22.387591,114.185122,83.30
22.387593,114.185124,83.30
22.387596,114.185124,83.30
22.387596,114.185124,83.30
22.387591,114.185120,83.40
22.387580,114.185118,83.60
22.387575,114.185117,83.60
22.387576,114.185112,83.70
22.387579,114.185099,83.90
22.387579,114.185087,84.00
22.387578,114.185078,84.10
22.387575,114.185064,84.30
22.387574,114.185040,84.60
22.387579,114.185019,84.80
22.387589,114.185007,85.00
22.387589,114.185011,85.10
22.387590,114.185014,85.10
22.387593,114.185011,85.20
22.387594,114.185004,85.30
22.387594,114.185004,85.30
22.387598,114.185006,85.30
22.387607,114.185006,85.40
22.387624,114.185009,85.70
22.387632,114.185005,85.80
22.387640,114.184998,85.90
22.387646,114.184979,86.20
22.387656,114.184966,86.40
22.387659,114.184955,86.50
22.387655,114.184950,86.60
22.387656,114.184949,86.60
22.387660,114.184951,86.70
22.387664,114.184951,86.70
22.387668,114.184953,86.80
22.387671,114.184949,86.80
22.387670,114.184947,86.90
22.387664,114.184952,86.90
22.387660,114.184960,87.10
22.387658,114.184972,87.20
22.387663,114.184983,87.40
22.387674,114.184989,87.50
22.387686,114.184987,87.70
22.387698,114.184981,87.80
22.387711,114.184972,88.10
22.387723,114.184966,88.20
22.387735,114.184965,88.40
22.387747,114.184966,88.50
22.387760,114.184968,88.70
22.387771,114.184972,88.90
22.387783,114.184970,89.00
22.387795,114.184965,89.20
22.387804,114.184962,89.30
22.387811,114.184962,89.40
22.387818,114.184966,89.50
22.387827,114.184975,90.00
22.387838,114.184991,90.00
22.387851,114.185004,89.90
22.387864,114.185017,89.80
22.387871,114.185024,89.80
22.387875,114.185031,89.80
22.387876,114.185036,89.80
22.387876,114.185036,89.80
22.387874,114.185051,89.70
22.387879,114.185051,89.70
22.387885,114.185044,89.70
22.387889,114.185031,89.60
22.387887,114.185018,89.60
22.387880,114.185010,89.50
22.387869,114.185000,89.50
22.387859,114.184992,89.40
22.387854,114.184990,89.40
22.387850,114.184986,89.40
22.387846,114.184977,89.40
22.387841,114.184971,89.30
22.387832,114.184966,89.30
22.387821,114.184955,89.30
22.387809,114.184945,89.20
22.387805,114.184934,89.20
22.387802,114.184924,89.10
22.387800,114.184918,89.10
22.387797,114.184908,89.10
22.387789,114.184907,89.00
22.387786,114.184916,89.00
22.387784,114.184924,89.00
22.387781,114.184932,89.00
22.387779,114.184941,88.90
22.387776,114.184949,88.90
22.387775,114.184960,88.90
22.387778,114.184962,88.90
22.387776,114.184961,88.80
22.387775,114.184956,88.80
22.387765,114.184939,88.80
22.387758,114.184921,88.70
22.387752,114.184905,88.60
22.387745,114.184890,88.60
22.387742,114.184872,88.50
22.387741,114.184864,88.50
22.387745,114.184853,88.50
22.387747,114.184848,88.40
22.387748,114.184846,88.40
22.387742,114.184840,88.40
22.387737,114.184831,88.40
22.387737,114.184823,88.30
22.387739,114.184813,88.30
22.387741,114.184807,88.30
22.387746,114.184803,88.30
22.387752,114.184798,88.20
22.387756,114.184796,88.20
22.387753,114.184802,88.20
22.387749,114.184808,88.20
22.387749,114.184815,88.20
22.387752,114.184818,88.10
22.387752,114.184821,88.10
22.387754,114.184822,88.10
22.387758,114.184819,88.10
22.387762,114.184818,88.10
22.387763,114.184822,88.10
22.387766,114.184830,88.10
22.387757,114.184843,88.00
22.387750,114.184851,88.00
22.387748,114.184855,87.90
22.387751,114.184853,87.90
22.387755,114.184853,87.90
22.387757,114.184857,87.90
22.387753,114.184864,87.90
22.387747,114.184869,87.90
22.387744,114.184870,87.80
22.387742,114.184869,87.80
22.387742,114.184869,87.80
22.387742,114.184869,87.80
22.387742,114.184869,87.80
22.387742,114.184869,87.80
22.387738,114.184871,87.80
22.387737,114.184876,87.80
22.387737,114.184883,87.80
22.387744,114.184897,87.70
22.387747,114.184910,87.70
