lat,lng,ele
22.377889,114.182908,15.00
22.377899,114.182882,14.80
22.377912,114.182848,14.80
22.377905,114.182837,14.80
22.377956,114.182733,14.80
22.377954,114.182718,14.80
22.377961,114.182653,14.80
22.377962,114.182533,14.80
22.377950,114.182473,14.80
22.377941,114.182456,14.80
22.377938,114.182410,14.80
22.377926,114.182373,14.80
22.377898,114.182340,14.80
22.377879,114.182321,14.80
22.377876,114.182312,14.80
22.377867,114.182295,14.80
22.377862,114.182276,14.60
22.377861,114.182268,14.60
22.377862,114.182290,14.60
22.377866,114.182293,14.60
22.377845,114.182286,14.60
22.377831,114.182284,14.60
22.377825,114.182290,14.60
22.377820,114.182300,14.60
22.377823,114.182312,14.60
22.377820,114.182312,14.60
22.377825,114.182321,14.60
22.377835,114.182331,14.60
22.377844,114.182339,14.60
22.377860,114.182348,14.60
22.377873,114.182366,14.60
22.377893,114.182373,14.60
22.377959,114.182349,14.60
22.377978,114.182348,14.60
22.377982,114.182349,14.60
22.377982,114.182349,14.80
22.377984,114.182352,14.80
22.377984,114.182351,14.80
22.377987,114.182356,14.80
22.378003,114.182363,14.80
22.378025,114.182368,14.80
22.378040,114.182368,14.80
22.378043,114.182373,14.80
22.378046,114.182377,14.80
22.378050,114.182382,14.80
22.378050,114.182382,14.80
22.378058,114.182404,14.80
22.378061,114.182408,14.80
22.378061,114.182408,14.80
22.378066,114.182417,14.80
22.378075,114.182420,14.80
22.378079,114.182420,14.60
22.378088,114.182417,14.60
22.378096,114.182402,14.60
22.378103,114.182385,14.60
22.378113,114.182368,14.60
22.378122,114.182345,14.60
22.378131,114.182313,14.80
22.378142,114.182281,14.80
22.378145,114.182247,14.60
22.378149,114.182209,14.60
22.378143,114.182175,14.60
22.378138,114.182138,14.60
22.378131,114.182103,14.80
22.378121,114.182076,14.80
22.378115,114.182051,14.60
22.378116,114.182034,14.80
22.378127,114.182015,14.80
22.378134,114.182040,14.80
22.378143,114.182061,14.80
22.378149,114.182079,15.00
22.378145,114.182115,15.00
22.378142,114.182148,15.00
22.378140,114.182189,15.00
22.378139,114.182235,15.00
22.378139,114.182293,15.00
22.378139,114.182331,15.00
22.378140,114.182393,15.00
22.378141,114.182436,15.00
22.378143,114.182488,15.00
22.378144,114.182551,15.20
