lat,lng,ele
22.418009,114.229649,17.40
22.417972,114.229703,17.40
22.417952,114.229763,17.40
22.417945,114.229818,17.40
22.417947,114.229868,17.40
22.417956,114.229908,17.40
22.417975,114.229960,17.60
22.417964,114.230012,17.60
22.417953,114.230051,17.80
22.417940,114.230095,18.00
22.417929,114.230134,18.20
22.417915,114.230181,18.20
22.417884,114.230227,18.20
22.417862,114.230266,18.40
22.417848,114.230315,18.40
22.417826,114.230355,18.60
22.417807,114.230401,18.60
22.417791,114.230452,18.80
22.417769,114.230497,18.80
22.417748,114.230544,19.20
22.417725,114.230576,19.40
22.417702,114.230606,19.60
22.417678,114.230633,19.80
22.417654,114.230651,19.80
22.417633,114.230675,20.00
22.417601,114.230696,20.00
22.417576,114.230727,20.20
22.417551,114.230754,20.20
22.417531,114.230783,20.40
22.417505,114.230818,20.60
22.417491,114.230846,21.00
22.417479,114.230878,21.20
22.417468,114.230904,21.20
22.417459,114.230934,21.40
22.417451,114.230968,21.40
22.417438,114.230995,21.60
22.417430,114.231027,21.60
22.417417,114.231059,21.80
22.417399,114.231097,21.80
22.417377,114.231122,22.00
22.417351,114.231149,22.00
22.417337,114.231177,22.40
22.417319,114.231214,22.40
22.417301,114.231257,22.60
22.417285,114.231293,22.80
22.417267,114.231325,22.80
22.417248,114.231353,23.20
22.417245,114.231368,23.20
22.417242,114.231377,23.40
22.417245,114.231384,23.60
22.417245,114.231384,23.80
22.417245,114.231384,23.80
22.417245,114.231384,24.00
22.417245,114.231384,24.20
22.417245,114.231384,24.40
22.417245,114.231384,24.60
22.417245,114.231384,24.40
22.417016,114.231533,24.80
22.416935,114.231562,24.80
22.416876,114.231539,25.00
22.416893,114.231512,25.00
22.416878,114.231523,25.40
22.416857,114.231494,25.60
22.416841,114.231468,25.80
22.416832,114.231441,26.00
22.416815,114.231414,26.20
22.416797,114.231388,26.40
22.416775,114.231347,26.60
22.416754,114.231317,26.80
22.416732,114.231285,26.80
22.416711,114.231256,27.20
22.416695,114.231236,27.40
22.416665,114.231218,27.40
22.416641,114.231222,27.60
22.416628,114.231235,27.80
22.416623,114.231247,28.20
22.416626,114.231272,28.20
22.416640,114.231294,28.40
22.416659,114.231315,28.60
22.416679,114.231336,28.60
22.416695,114.231360,28.60
22.416716,114.231387,28.60
22.416737,114.231412,28.80
22.416761,114.231443,28.80
22.416778,114.231475,29.00
22.416791,114.231495,29.00
22.416810,114.231519,29.20
22.416825,114.231539,29.20
22.416837,114.231555,29.40
22.416849,114.231573,29.40
22.416856,114.231587,29.40
22.416867,114.231611,29.60
22.416880,114.231636,29.60
22.416888,114.231648,30.00
22.416899,114.231656,30.00
22.416915,114.231665,30.20
22.416941,114.231676,30.40
22.416974,114.231693,30.40
22.417010,114.231713,30.60
22.417040,114.231734,30.60
22.417066,114.231753,30.60
22.417093,114.231776,30.60
22.417119,114.231802,30.60
22.417139,114.231825,30.60
22.417153,114.231847,30.60
22.417168,114.231865,30.60
22.417188,114.231891,30.40
22.417206,114.231925,30.20
22.417221,114.231954,30.20
22.417231,114.231982,30.20
22.417241,114.232004,30.20
22.417255,114.232029,30.20
22.417270,114.232049,30.20
22.417285,114.232059,30.20
22.417303,114.232060,30.20
22.417319,114.232056,30.20
22.417346,114.232049,30.40
22.417376,114.232046,30.40
22.417404,114.232047,30.40
22.417428,114.232054,30.40
22.417443,114.232066,30.40
22.417461,114.232090,30.40
22.417474,114.232118,30.60
22.417484,114.232153,30.60
22.417505,114.232187,30.80
22.417523,114.232211,30.80
22.417546,114.232233,30.80
22.417570,114.232253,31.00
22.417594,114.232274,31.20
22.417625,114.232296,31.60
22.417652,114.232312,32.00
22.417684,114.232334,32.80
22.417717,114.232355,33.00
22.417750,114.232373,33.40
22.417786,114.232396,34.00
22.417814,114.232415,34.20
22.417846,114.232437,34.60
22.417878,114.232464,35.00
22.417909,114.232488,35.60
22.417936,114.232509,36.00
22.417962,114.232527,36.20
22.417998,114.232556,36.20
22.418036,114.232593,36.80
22.418057,114.232621,37.40
22.418082,114.232646,37.80
22.418102,114.232666,38.20
22.418134,114.232696,38.60
22.418158,114.232724,39.40
22.418178,114.232746,39.60
22.418197,114.232770,40.20
22.418222,114.232796,40.40
22.418244,114.232827,41.00
22.418254,114.232852,41.80
22.418277,114.232896,42.00
22.418317,114.232944,42.40
22.418353,114.232988,42.60
22.418378,114.233026,43.00
22.418412,114.233077,43.20
22.418457,114.233137,43.60
22.418494,114.233185,43.80
22.418528,114.233231,44.20
22.418559,114.233272,44.80
22.418587,114.233305,45.00
22.418620,114.233350,45.40
22.418643,114.233387,45.60
22.418671,114.233422,46.20
22.418703,114.233456,46.40
22.418742,114.233497,46.80
22.418790,114.233543,47.00
22.418830,114.233580,47.40
22.418866,114.233611,48.00
22.418905,114.233645,48.20
22.418935,114.233675,48.80
22.418983,114.233722,49.20
22.419016,114.233756,49.40
22.419046,114.233784,49.80
22.419085,114.233818,50.20
22.419119,114.233848,50.40
22.419166,114.233888,51.00
22.419204,114.233925,51.40
22.419229,114.233950,51.60
22.419273,114.233987,52.00
22.419316,114.234028,52.20
22.419353,114.234066,53.00
22.419391,114.234104,53.20
22.419429,114.234144,53.80
22.419470,114.234185,54.00
22.419519,114.234225,54.20
22.419559,114.234256,54.40
22.419603,114.234296,54.60
22.419645,114.234339,55.00
22.419701,114.234395,55.00
22.419755,114.234444,55.20
22.419815,114.234509,55.00
22.419871,114.234560,55.40
22.419924,114.234606,55.40
22.419987,114.234663,55.20
22.420055,114.234738,55.40
22.420126,114.234815,55.60
22.420172,114.234873,55.60
22.420227,114.234954,55.80
22.420272,114.235029,56.20
22.420304,114.235088,56.40
22.420340,114.235175,56.60
22.420365,114.235243,56.60
22.420378,114.235303,57.00
22.420388,114.235378,57.20
22.420389,114.235431,57.60
22.420389,114.235482,58.40
22.420405,114.235534,58.80
22.420423,114.235586,59.40
22.420451,114.235645,59.80
22.420470,114.235693,60.60
22.420468,114.235736,61.00
22.420497,114.235801,61.60
22.420512,114.235843,62.00
22.420515,114.235887,62.60
22.420512,114.235945,63.20
22.420481,114.235998,63.60
22.420439,114.236038,64.00
22.420392,114.236076,64.40
22.420344,114.236111,64.80
22.420327,114.236128,65.20
22.420307,114.236167,65.80
22.420296,114.236206,66.20
22.420296,114.236227,67.00
22.420292,114.236259,67.20
22.420312,114.236308,67.40
22.420311,114.236355,68.00
22.420314,114.236403,68.40
22.420319,114.236445,68.80
22.420320,114.236485,69.00
22.420322,114.236520,69.40
22.420330,114.236558,69.60
22.420338,114.236594,70.20
22.420348,114.236625,70.80
22.420356,114.236668,71.20
22.420359,114.236708,71.60
22.420353,114.236747,71.80
22.420336,114.236782,72.00
22.420318,114.236814,72.20
22.420281,114.236835,72.60
22.420238,114.236859,72.80
22.420204,114.236857,73.60
22.420174,114.236843,74.20
22.420151,114.236823,74.40
22.420124,114.236792,74.80
22.420101,114.236753,75.00
22.420078,114.236696,75.60
22.420064,114.236649,75.80
22.420057,114.236615,76.40
22.420043,114.236564,76.60
22.420028,114.236502,77.20
22.420014,114.236450,77.80
22.420000,114.236392,77.80
22.419989,114.236341,78.20
22.419964,114.236286,78.40
22.419932,114.236221,78.60
22.419904,114.236158,78.80
22.419871,114.236100,79.00
22.419843,114.236059,79.20
22.419802,114.235994,79.20
22.419750,114.235920,79.60
22.419705,114.235870,79.80
22.419657,114.235826,80.20
22.419596,114.235769,80.20
22.419547,114.235724,80.40
22.419467,114.235661,80.40
22.419395,114.235612,80.40
22.419320,114.235559,80.60
22.419239,114.235503,80.60
22.419170,114.235440,80.60
22.419070,114.235337,80.60
22.418988,114.235244,80.40
22.418917,114.235152,80.00
22.418863,114.235073,79.00
22.418792,114.234980,78.80
22.418706,114.234889,78.00
