lat,lng,ele
22.476413,114.236320,35.60
22.476427,114.236331,36.00
22.476441,114.236343,36.00
22.476473,114.236366,35.00
22.476508,114.236392,34.60
22.476547,114.236421,34.60
22.476588,114.236452,34.60
22.476636,114.236483,34.60
22.476691,114.236510,33.60
22.476753,114.236534,32.00
22.476827,114.236555,32.00
22.476911,114.236570,32.00
22.477004,114.236575,31.00
22.477102,114.236583,28.60
22.477206,114.236603,28.60
22.477306,114.236638,27.60
22.477403,114.236692,27.60
22.477489,114.236759,25.60
22.477553,114.236834,25.60
22.477596,114.236918,26.60
22.477623,114.236999,28.00
22.477638,114.237081,28.00
22.477641,114.237162,28.00
22.477637,114.237245,28.00
22.477635,114.237319,29.00
22.477634,114.237391,29.00
22.477635,114.237463,29.60
22.477641,114.237535,29.60
22.477651,114.237607,29.60
22.477667,114.237678,29.20
22.477687,114.237749,29.20
22.477711,114.237824,29.20
22.477741,114.237899,28.20
22.477778,114.237974,26.80
22.477821,114.238049,26.80
22.477874,114.238125,26.80
22.477939,114.238202,26.80
22.478008,114.238270,26.80
22.478084,114.238333,24.00
22.478165,114.238391,24.00
22.478248,114.238452,23.00
22.478331,114.238505,23.00
22.478414,114.238563,21.80
22.478496,114.238620,21.80
22.478577,114.238680,21.80
22.478658,114.238735,20.80
22.478738,114.238789,18.60
22.478817,114.238842,18.60
22.478893,114.238902,18.60
22.478962,114.238966,17.60
22.479027,114.239036,16.40
22.479086,114.239114,16.40
22.479139,114.239195,16.40
22.479185,114.239278,15.40
22.479226,114.239370,13.60
22.479262,114.239474,13.60
22.479301,114.239567,13.60
22.479341,114.239660,13.60
22.479382,114.239753,13.60
22.479424,114.239845,13.80
22.479466,114.239937,13.80
22.479508,114.240023,13.80
22.479554,114.240105,13.60
22.479602,114.240181,14.00
22.479651,114.240250,14.00
22.479704,114.240309,14.00
22.479758,114.240358,15.00
22.479814,114.240398,16.20
22.479872,114.240438,16.20
22.479928,114.240469,16.20
22.479985,114.240499,16.20
22.480039,114.240523,16.40
22.480091,114.240543,17.60
22.480140,114.240561,17.60
22.480189,114.240584,17.60
22.480240,114.240609,17.60
22.480289,114.240632,18.20
22.480337,114.240654,18.20
22.480386,114.240679,18.20
22.480434,114.240705,18.20
22.480482,114.240731,18.20
22.480530,114.240760,18.20
22.480578,114.240789,18.20
22.480627,114.240819,18.20
22.480673,114.240852,18.40
22.480719,114.240887,18.40
22.480767,114.240918,18.40
22.480816,114.240949,18.40
22.480862,114.240980,18.20
22.480907,114.241014,18.20
22.480954,114.241046,18.20
22.481000,114.241080,18.20
22.481046,114.241113,18.40
22.481097,114.241148,18.40
22.481145,114.241186,18.40
22.481194,114.241224,18.40
22.481241,114.241263,18.40
22.481286,114.241302,18.40
22.481333,114.241341,17.80
22.481379,114.241381,17.80
22.481423,114.241427,17.80
22.481465,114.241470,18.20
22.481505,114.241512,18.20
22.481545,114.241553,18.20
22.481584,114.241594,18.20
22.481623,114.241634,17.40
22.481661,114.241673,17.40
22.481696,114.241710,17.40
22.481732,114.241746,17.40
22.481768,114.241782,17.40
22.481804,114.241820,17.20
22.481837,114.241862,17.20
22.481892,114.241925,17.20
22.481913,114.241946,17.20
22.481934,114.241966,16.60
22.481997,114.242027,16.20
22.482041,114.242073,16.20
22.482085,114.242123,16.20
22.482131,114.242172,16.20
22.482176,114.242221,16.20
22.482221,114.242272,15.80
22.482267,114.242322,15.80
22.482312,114.242370,15.80
22.482356,114.242420,15.80
22.482401,114.242469,15.40
22.482448,114.242521,15.40
22.482493,114.242573,15.40
22.482538,114.242627,15.40
22.482586,114.242678,15.00
22.482634,114.242733,15.00
22.482682,114.242789,15.00
22.482733,114.242843,15.00
22.482785,114.242900,14.40
22.482836,114.242956,14.40
22.482889,114.243011,14.40
22.482945,114.243060,14.40
22.483006,114.243100,14.40
22.483070,114.243134,13.60
22.483139,114.243164,13.60
22.483213,114.243188,13.60
22.483289,114.243205,12.60
22.483368,114.243219,11.80
22.483448,114.243225,11.80
22.483525,114.243225,11.80
22.483600,114.243214,11.80
22.483672,114.243201,10.80
22.483743,114.243181,10.80
22.483815,114.243151,10.80
22.483886,114.243107,10.80
22.483957,114.243055,10.40
22.484029,114.243000,10.40
22.484103,114.242944,10.40
22.484181,114.242893,10.40
22.484259,114.242845,9.80
22.484341,114.242804,9.80
22.484428,114.242771,9.80
22.484517,114.242753,9.80
22.484606,114.242754,9.80
22.484691,114.242763,10.20
22.484771,114.242778,10.20
22.484845,114.242799,10.20
22.484916,114.242827,11.20
22.484982,114.242865,11.20
22.485043,114.242906,11.20
22.485097,114.242950,11.20
22.485147,114.242998,11.20
22.485193,114.243050,11.40
22.485236,114.243105,11.40
22.485280,114.243161,11.40
22.485326,114.243212,11.40
22.485372,114.243261,11.40
22.485416,114.243312,12.60
22.485462,114.243364,12.60
22.485509,114.243415,12.60
22.485553,114.243466,12.60
22.485599,114.243517,13.00
22.485645,114.243569,13.00
22.485692,114.243621,13.00
22.485738,114.243673,12.80
22.485790,114.243721,12.00
22.485842,114.243764,12.00
22.485894,114.243803,12.00
22.485949,114.243842,12.00
22.486006,114.243875,12.40
22.486064,114.243905,12.40
22.486125,114.243930,12.40
22.486184,114.243954,12.40
22.486243,114.243975,12.40
22.486304,114.243989,12.20
22.486367,114.243996,12.20
22.486432,114.244001,12.20
22.486497,114.244002,12.20
22.486562,114.244003,11.60
22.486628,114.244002,11.60
22.486691,114.243997,11.60
22.486752,114.243991,11.60
22.486809,114.243979,11.60
22.486866,114.243963,11.60
22.486925,114.243941,11.60
22.486984,114.243915,11.60
22.487040,114.243883,11.60
22.487098,114.243850,12.00
22.487155,114.243814,12.00
22.487213,114.243773,12.00
22.487268,114.243727,10.60
22.487322,114.243679,10.60
22.487372,114.243626,10.60
22.487417,114.243570,10.60
22.487458,114.243516,10.60
22.487495,114.243461,10.60
22.487530,114.243404,10.60
22.487565,114.243342,10.60
22.487597,114.243278,11.20
22.487623,114.243215,10.40
22.487645,114.243147,10.40
22.487667,114.243084,10.40
22.487691,114.243022,10.40
22.487718,114.242959,10.60
22.487744,114.242893,10.60
22.487772,114.242829,10.60
22.487798,114.242763,10.60
22.487823,114.242701,10.60
22.487850,114.242639,10.00
22.487882,114.242578,10.00
22.487921,114.242522,10.00
22.487966,114.242471,10.00
22.488014,114.242427,10.00
22.488064,114.242387,9.80
22.488121,114.242353,9.80
22.488180,114.242325,10.60
22.488241,114.242304,10.60
22.488302,114.242286,10.40
22.488361,114.242274,10.40
22.488420,114.242269,10.40
22.488480,114.242269,11.20
22.488540,114.242273,10.60
22.488597,114.242280,10.60
22.488651,114.242289,11.20
22.488703,114.242302,11.20
22.488756,114.242316,11.20
22.488809,114.242330,11.20
22.488863,114.242345,11.20
22.488919,114.242362,11.20
22.488973,114.242383,11.40
22.489028,114.242406,11.20
22.489086,114.242425,11.20
22.489143,114.242442,11.20
22.489200,114.242459,11.40
22.489255,114.242472,11.40
22.489313,114.242487,11.40
22.489366,114.242501,11.40
22.489418,114.242514,12.00
22.489467,114.242522,12.00
22.489518,114.242523,12.00
22.489572,114.242522,12.40
22.489628,114.242518,12.40
22.489684,114.242510,12.60
22.489740,114.242500,12.60
22.489792,114.242484,12.60
22.489845,114.242466,13.00
22.489896,114.242445,12.80
22.489947,114.242421,12.80
22.489998,114.242395,12.80
22.490046,114.242365,13.00
22.490090,114.242333,12.80
22.490134,114.242300,12.80
22.490174,114.242268,12.80
22.490217,114.242234,13.60
22.490259,114.242201,13.60
22.490301,114.242168,13.60
22.490344,114.242135,13.60
22.490388,114.242103,13.60
22.490430,114.242071,14.00
22.490472,114.242040,14.00
22.490513,114.242012,14.00
22.490552,114.241983,14.00
22.490592,114.241955,14.40
22.490627,114.241927,14.40
22.490662,114.241900,14.40
22.490701,114.241875,14.40
22.490740,114.241850,14.40
22.490782,114.241831,14.60
22.490823,114.241811,14.60
22.490865,114.241797,14.60
22.490908,114.241787,15.40
22.490953,114.241780,14.80
22.490997,114.241773,14.80
22.491045,114.241770,14.80
22.491095,114.241770,14.80
22.491144,114.241772,15.20
22.491191,114.241777,15.20
22.491242,114.241783,15.20
22.491292,114.241790,15.00
22.491343,114.241798,15.00
22.491398,114.241808,15.00
22.491456,114.241817,14.20
22.491515,114.241830,14.20
22.491576,114.241843,14.00
22.491640,114.241853,13.40
22.491704,114.241863,13.40
22.491771,114.241871,13.40
22.491839,114.241879,13.00
22.491911,114.241888,12.20
22.491984,114.241898,12.20
22.492061,114.241906,12.20
22.492143,114.241913,12.20
22.492224,114.241923,10.60
22.492304,114.241933,10.60
22.492387,114.241943,10.60
22.492470,114.241954,10.60
22.492549,114.241964,9.80
22.492626,114.241969,10.40
22.492707,114.241973,10.40
22.492791,114.241975,10.40
22.492873,114.241973,10.00
22.492956,114.241966,10.00
22.493035,114.241953,10.00
22.493115,114.241937,10.00
22.493194,114.241917,10.40
22.493272,114.241896,10.40
22.493346,114.241875,10.40
22.493419,114.241848,10.40
22.493494,114.241821,10.40
22.493567,114.241790,10.40
22.493637,114.241761,10.40
22.493709,114.241730,10.40
22.493781,114.241700,10.40
22.493854,114.241670,10.40
22.493927,114.241642,10.60
22.493998,114.241618,10.60
22.494068,114.241590,10.60
22.494138,114.241563,10.20
22.494206,114.241540,10.40
22.494271,114.241512,10.40
22.494334,114.241483,10.40
22.494393,114.241455,10.80
22.494450,114.241428,10.60
22.494505,114.241399,10.60
22.494561,114.241371,10.60
22.494620,114.241346,10.60
22.494680,114.241324,10.80
22.494735,114.241300,10.80
22.494792,114.241276,10.80
22.494845,114.241252,10.80
22.494897,114.241231,11.00
22.494950,114.241210,11.00
22.495005,114.241188,11.00
22.495060,114.241167,11.00
22.495117,114.241147,11.00
22.495175,114.241128,10.80
22.495235,114.241111,10.80
22.495294,114.241099,10.80
22.495350,114.241088,10.80
22.495406,114.241080,10.80
22.495462,114.241075,11.20
22.495519,114.241076,11.20
22.495577,114.241078,11.20
22.495633,114.241084,11.40
22.495688,114.241095,11.20
22.495745,114.241107,11.20
22.495802,114.241118,11.20
22.495857,114.241130,11.80
22.495912,114.241144,11.80
22.495966,114.241159,11.80
22.496022,114.241172,11.80
22.496078,114.241186,12.40
22.496131,114.241198,12.40
22.496182,114.241212,12.80
22.496236,114.241224,12.80
22.496282,114.241232,12.80
22.496326,114.241244,12.80
22.496367,114.241249,13.80
22.496406,114.241258,13.80
22.496443,114.241262,13.80
22.496479,114.241266,14.80
22.496513,114.241266,15.20
22.496543,114.241266,15.20
22.496571,114.241266,15.20
22.496598,114.241264,15.80
22.496627,114.241262,16.20
22.496656,114.241259,16.20
22.496685,114.241256,16.20
22.496718,114.241251,16.60
22.496749,114.241244,16.80
22.496782,114.241237,16.80
22.496814,114.241229,16.80
22.496845,114.241221,16.80
22.496875,114.241210,17.60
22.496903,114.241198,17.60
22.496932,114.241185,17.60
22.496958,114.241175,17.60
22.496987,114.241160,18.20
22.497016,114.241144,18.40
22.497046,114.241129,18.40
22.497075,114.241115,18.40
22.497104,114.241100,19.00
22.497133,114.241088,19.00
22.497162,114.241074,19.00
22.497189,114.241059,19.00
22.497214,114.241046,19.60
22.497237,114.241032,20.00
22.497260,114.241016,20.00
22.497283,114.241001,20.00
22.497305,114.240985,20.00
22.497328,114.240972,20.00
22.497349,114.240957,20.60
22.497370,114.240942,20.60
22.497391,114.240929,20.60
22.497411,114.240917,21.20
22.497433,114.240905,21.40
22.497454,114.240893,21.40
22.497474,114.240882,21.40
22.497493,114.240868,22.00
22.497514,114.240855,22.00
22.497539,114.240841,22.00
22.497562,114.240827,22.00
22.497584,114.240815,22.40
22.497608,114.240801,22.40
22.497631,114.240787,22.60
22.497657,114.240774,22.60
22.497682,114.240761,22.60
22.497708,114.240746,23.20
22.497736,114.240733,23.40
22.497764,114.240719,23.40
22.497792,114.240705,23.40
22.497819,114.240692,24.00
22.497843,114.240679,24.00
22.497867,114.240665,24.00
22.497890,114.240652,24.00
22.497913,114.240640,24.60
22.497935,114.240627,24.60
22.497957,114.240615,24.60
22.497978,114.240605,24.60
22.497999,114.240596,25.20
22.498021,114.240585,25.40
22.498043,114.240575,25.40
22.498066,114.240565,25.40
22.498089,114.240554,25.40
22.498113,114.240543,25.40
22.498138,114.240532,26.00
22.498163,114.240522,26.00
22.498188,114.240513,26.00
22.498212,114.240505,26.80
22.498236,114.240497,26.80
22.498258,114.240488,26.80
22.498284,114.240479,26.80
22.498309,114.240469,27.20
22.498336,114.240461,27.40
22.498361,114.240457,27.40
22.498387,114.240450,27.40
22.498413,114.240446,27.80
22.498437,114.240438,28.00
22.498461,114.240431,28.00
