lat,lng,ele
22.524674,114.218213,1.60
22.524674,114.218213,1.40
22.524660,114.218240,1.40
22.524646,114.218269,1.40
22.524630,114.218300,1.40
22.524613,114.218336,0.80
22.524597,114.218376,0.80
22.524578,114.218419,0.80
22.524557,114.218463,0.80
22.524534,114.218504,0.20
22.524511,114.218547,0.20
22.524487,114.218587,0.20
22.524458,114.218628,0.20
22.524425,114.218676,0.40
22.524392,114.218723,0.40
22.524358,114.218770,0.40
22.524324,114.218817,0.40
22.524292,114.218864,0.20
22.524260,114.218910,0.00
22.524226,114.218958,0.00
22.524193,114.219009,0.00
22.524159,114.219059,0.00
22.524123,114.219111,0.20
22.524087,114.219164,0.20
22.524050,114.219219,0.20
22.524014,114.219274,0.20
22.523976,114.219330,0.20
22.523938,114.219388,0.00
22.523900,114.219445,0.00
22.523861,114.219502,0.00
22.523823,114.219558,0.00
22.523784,114.219616,0.40
22.523745,114.219672,0.40
22.523707,114.219729,0.40
22.523666,114.219786,0.20
22.523627,114.219842,0.40
22.523588,114.219900,0.40
22.523549,114.219957,0.40
22.523511,114.220016,0.40
22.523473,114.220074,-0.20
22.523435,114.220130,-0.20
22.523396,114.220186,-0.20
22.523359,114.220246,-0.20
22.523322,114.220308,0.60
22.523283,114.220369,0.40
22.523244,114.220428,0.40
22.523206,114.220487,0.40
22.523166,114.220547,0.40
22.523126,114.220607,0.60
22.523088,114.220667,0.60
22.523049,114.220725,0.60
22.523013,114.220781,0.60
22.522977,114.220838,1.20
22.522944,114.220890,1.20
22.522914,114.220941,1.20
22.522884,114.220989,1.20
22.522855,114.221040,1.60
22.522824,114.221090,1.60
22.522791,114.221139,1.60
22.522758,114.221189,1.60
22.522729,114.221232,2.60
22.522701,114.221274,2.60
22.522672,114.221317,2.60
22.522642,114.221359,2.60
22.522609,114.221400,3.20
22.522578,114.221441,4.00
22.522548,114.221482,4.00
22.522520,114.221522,4.00
22.522494,114.221559,4.00
22.522468,114.221596,4.40
22.522441,114.221632,4.40
22.522414,114.221670,4.40
22.522390,114.221708,5.00
22.522365,114.221745,5.00
22.522341,114.221781,5.00
22.522316,114.221814,5.00
22.522292,114.221848,5.40
22.522269,114.221881,5.40
22.522246,114.221912,5.80
22.522223,114.221946,5.80
22.522203,114.221979,6.40
22.522182,114.222012,6.40
22.522164,114.222042,6.60
22.522147,114.222068,6.60
22.522129,114.222093,6.60
22.522111,114.222116,6.60
22.522094,114.222138,7.20
22.522078,114.222157,7.20
22.522064,114.222176,7.20
22.522050,114.222195,7.80
22.522037,114.222216,8.20
22.522024,114.222237,8.20
22.522009,114.222260,8.20
22.521994,114.222283,8.20
22.521978,114.222308,8.60
22.521965,114.222332,8.60
22.521952,114.222356,8.60
22.521938,114.222378,8.60
22.521926,114.222400,8.80
22.521914,114.222421,8.80
22.521901,114.222441,8.80
22.521888,114.222460,8.80
22.521876,114.222480,9.60
22.521865,114.222500,10.00
22.521854,114.222520,10.00
22.521842,114.222540,10.00
22.521829,114.222563,10.40
22.521814,114.222585,10.80
22.521799,114.222606,10.80
22.521784,114.222631,10.80
22.521769,114.222656,11.40
22.521754,114.222681,11.40
22.521739,114.222708,11.40
22.521723,114.222734,11.40
22.521708,114.222756,11.40
22.521693,114.222780,12.40
22.521680,114.222805,12.40
22.521666,114.222828,12.40
22.521651,114.222853,12.40
22.521636,114.222878,13.00
22.521621,114.222903,13.00
22.521605,114.222928,13.00
22.521589,114.222953,13.00
22.521573,114.222976,13.60
22.521557,114.222998,13.80
22.521542,114.223021,13.80
22.521527,114.223045,13.80
22.521512,114.223069,13.80
22.521496,114.223093,14.20
22.521480,114.223117,14.40
22.521465,114.223139,14.40
22.521451,114.223161,14.40
22.521438,114.223184,14.80
22.521423,114.223203,15.20
22.521408,114.223225,15.20
22.521394,114.223244,15.20
22.521381,114.223264,15.60
22.521368,114.223283,16.00
22.521354,114.223302,16.00
22.521341,114.223323,16.00
22.521332,114.223346,16.60
