lat,lng,ele
22.406121,114.208087,-4.00
22.406151,114.208042,-4.00
22.406202,114.208023,-3.80
22.406254,114.208038,-3.80
22.406309,114.208084,-3.80
22.406347,114.208145,-3.80
22.406359,114.208211,-3.80
22.406362,114.208278,-4.00
22.406366,114.208352,-4.00
22.406370,114.208431,-4.00
22.406379,114.208517,-4.20
22.406391,114.208596,-4.20
22.406410,114.208675,-4.20
22.406430,114.208748,-4.20
22.406454,114.208819,-4.00
22.406475,114.208890,-4.00
22.406496,114.208959,-4.00
22.406521,114.209029,-3.80
22.406544,114.209100,-3.60
22.406569,114.209170,-3.40
22.406594,114.209243,-3.40
22.406621,114.209317,-3.20
22.406652,114.209389,-2.80
22.406686,114.209461,-2.60
22.406722,114.209532,-2.40
22.406761,114.209597,-2.40
22.406801,114.209658,-2.20
22.406848,114.209713,-2.20
22.406898,114.209766,-2.20
22.406947,114.209814,-2.00
22.407002,114.209859,-2.00
22.407058,114.209904,-2.00
22.407117,114.209937,-1.60
22.407176,114.209968,-1.60
22.407234,114.209990,-1.60
22.407291,114.210012,-1.40
22.407352,114.210032,-1.40
22.407412,114.210051,-1.20
22.407469,114.210070,-1.20
22.407516,114.210086,-0.80
22.407575,114.210102,-0.60
22.407633,114.210115,-0.40
22.407690,114.210128,-0.40
22.407747,114.210141,0.00
22.407803,114.210152,0.40
22.407863,114.210169,0.60
22.407921,114.210186,0.80
22.407981,114.210204,1.00
22.408040,114.210225,1.20
22.408102,114.210248,2.00
22.408165,114.210269,2.00
22.408224,114.210292,2.40
22.408308,114.210328,2.80
22.408337,114.210343,3.40
22.408394,114.210373,4.00
22.408448,114.210398,4.00
22.408499,114.210429,4.40
22.408555,114.210457,4.60
22.408613,114.210486,4.80
22.408667,114.210519,5.00
22.408721,114.210553,5.60
22.408779,114.210581,6.00
22.408837,114.210621,6.20
22.408897,114.210655,6.60
22.408957,114.210688,6.80
22.409021,114.210714,7.00
22.409087,114.210735,7.20
22.409156,114.210754,7.40
22.409223,114.210770,7.60
22.409294,114.210783,7.60
22.409362,114.210792,8.20
22.409430,114.210798,8.40
22.409496,114.210797,8.80
22.409563,114.210785,9.00
22.409634,114.210763,9.20
22.409703,114.210735,9.60
22.409771,114.210705,10.00
22.409835,114.210669,10.40
22.409889,114.210631,10.60
22.409956,114.210579,11.00
22.410015,114.210529,11.00
22.410072,114.210478,11.40
22.410127,114.210427,12.00
22.410183,114.210375,12.00
22.410239,114.210322,12.40
22.410298,114.210267,12.40
22.410365,114.210213,12.60
22.410436,114.210165,12.60
22.410508,114.210115,12.60
22.410578,114.210071,12.40
22.410662,114.210023,12.40
22.410740,114.209984,12.20
22.410816,114.209945,12.00
22.410883,114.209903,11.80
22.410950,114.209837,11.80
22.410997,114.209765,11.80
22.411034,114.209688,12.00
22.411067,114.209613,11.80
22.411094,114.209548,11.80
22.411127,114.209468,12.20
22.411152,114.209411,12.40
22.411176,114.209361,12.80
22.411188,114.209325,13.20
22.411202,114.209283,13.60
